Category: All categories

Month,Nike basketball shoes: (United States)
2014-02,51
2014-03,49
2014-04,39
2014-05,38
2014-06,38
2014-07,37
2014-08,39
2014-09,37
2014-10,54
2014-11,81
2014-12,63
2015-01,47
2015-02,43
2015-03,43
2015-04,37
2015-05,34
2015-06,37
2015-07,33
2015-08,38
2015-09,36
2015-10,63
2015-11,84
2015-12,64
2016-01,55
2016-02,55
2016-03,51
2016-04,42
2016-05,45
2016-06,47
2016-07,47
2016-08,45
2016-09,49
2016-10,77
2016-11,96
2016-12,81
2017-01,59
2017-02,55
2017-03,51
2017-04,46
2017-05,47
2017-06,44
2017-07,49
2017-08,47
2017-09,52
2017-10,73
2017-11,94
2017-12,76
2018-01,57
2018-02,53
2018-03,50
2018-04,41
2018-05,40
2018-06,41
2018-07,46
2018-08,47
2018-09,39
2018-10,59
2018-11,85
2018-12,71
2019-01,53
2019-02,52
2019-03,49
2019-04,35
2019-05,30
2019-06,37
2019-07,36
2019-08,42
2019-09,38
2019-10,55
2019-11,88
2019-12,70
2020-01,60
2020-02,55
2020-03,32
2020-04,21
2020-05,26
2020-06,29
2020-07,32
2020-08,34
2020-09,30
2020-10,41
2020-11,43
2020-12,40
2021-01,32
2021-02,30
2021-03,37
2021-04,34
2021-05,29
2021-06,37
2021-07,41
2021-08,42
2021-09,37
2021-10,57
2021-11,85
2021-12,73
2022-01,58
2022-02,57
2022-03,58
2022-04,48
2022-05,45
2022-06,49
2022-07,47
2022-08,52
2022-09,47
2022-10,74
2022-11,100
2022-12,73
2023-01,61
2023-02,55
2023-03,53
2023-04,45
2023-05,49
2023-06,50
2023-07,47
2023-08,53
2023-09,45
2023-10,73
2023-11,93
2023-12,72
2024-01,44
