Category: All categories

Month,Nike socks: (United States)
2014-02,48
2014-03,42
2014-04,40
2014-05,41
2014-06,37
2014-07,35
2014-08,41
2014-09,36
2014-10,39
2014-11,50
2014-12,65
2015-01,31
2015-02,30
2015-03,32
2015-04,29
2015-05,29
2015-06,29
2015-07,31
2015-08,35
2015-09,29
2015-10,28
2015-11,40
2015-12,51
2016-01,24
2016-02,26
2016-03,27
2016-04,28
2016-05,26
2016-06,24
2016-07,26
2016-08,30
2016-09,27
2016-10,28
2016-11,39
2016-12,48
2017-01,23
2017-02,24
2017-03,24
2017-04,22
2017-05,23
2017-06,25
2017-07,28
2017-08,29
2017-09,29
2017-10,26
2017-11,37
2017-12,46
2018-01,21
2018-02,22
2018-03,23
2018-04,23
2018-05,22
2018-06,24
2018-07,24
2018-08,29
2018-09,24
2018-10,20
2018-11,31
2018-12,36
2019-01,19
2019-02,19
2019-03,20
2019-04,20
2019-05,19
2019-06,22
2019-07,24
2019-08,27
2019-09,23
2019-10,20
2019-11,32
2019-12,53
2020-01,21
2020-02,25
2020-03,19
2020-04,23
2020-05,34
2020-06,35
2020-07,38
2020-08,37
2020-09,29
2020-10,28
2020-11,46
2020-12,58
2021-01,27
2021-02,27
2021-03,28
2021-04,29
2021-05,27
2021-06,29
2021-07,33
2021-08,40
2021-09,33
2021-10,31
2021-11,63
2021-12,72
2022-01,29
2022-02,32
2022-03,34
2022-04,32
2022-05,31
2022-06,33
2022-07,39
2022-08,49
2022-09,35
2022-10,37
2022-11,71
2022-12,83
2023-01,33
2023-02,32
2023-03,32
2023-04,32
2023-05,34
2023-06,36
2023-07,41
2023-08,50
2023-09,33
2023-10,37
2023-11,80
2023-12,100
2024-01,48
