Category: All categories

Month,Nike Dri-FIT: (United States)
2014-02,32
2014-03,30
2014-04,38
2014-05,36
2014-06,39
2014-07,37
2014-08,44
2014-09,41
2014-10,35
2014-11,38
2014-12,45
2015-01,32
2015-02,29
2015-03,32
2015-04,34
2015-05,34
2015-06,38
2015-07,38
2015-08,48
2015-09,33
2015-10,30
2015-11,39
2015-12,57
2016-01,50
2016-02,42
2016-03,47
2016-04,45
2016-05,54
2016-06,55
2016-07,46
2016-08,49
2016-09,46
2016-10,38
2016-11,55
2016-12,66
2017-01,37
2017-02,38
2017-03,41
2017-04,46
2017-05,42
2017-06,44
2017-07,50
2017-08,43
2017-09,42
2017-10,42
2017-11,49
2017-12,57
2018-01,36
2018-02,38
2018-03,45
2018-04,44
2018-05,52
2018-06,45
2018-07,52
2018-08,40
2018-09,39
2018-10,31
2018-11,42
2018-12,49
2019-01,28
2019-02,39
2019-03,39
2019-04,41
2019-05,39
2019-06,46
2019-07,45
2019-08,48
2019-09,38
2019-10,34
2019-11,51
2019-12,62
2020-01,42
2020-02,42
2020-03,37
2020-04,48
2020-05,64
2020-06,81
2020-07,74
2020-08,64
2020-09,56
2020-10,55
2020-11,63
2020-12,76
2021-01,53
2021-02,54
2021-03,55
2021-04,60
2021-05,58
2021-06,67
2021-07,61
2021-08,59
2021-09,62
2021-10,58
2021-11,75
2021-12,72
2022-01,58
2022-02,62
2022-03,70
2022-04,68
2022-05,73
2022-06,74
2022-07,83
2022-08,80
2022-09,64
2022-10,58
2022-11,75
2022-12,82
2023-01,60
2023-02,60
2023-03,62
2023-04,71
2023-05,69
2023-06,87
2023-07,90
2023-08,89
2023-09,73
2023-10,69
2023-11,98
2023-12,100
2024-01,69
