Category: All categories

Month,Nike running shoes for women: (United States)
2014-02,85
2014-03,98
2014-04,79
2014-05,78
2014-06,65
2014-07,79
2014-08,75
2014-09,49
2014-10,35
2014-11,41
2014-12,56
2015-01,52
2015-02,69
2015-03,77
2015-04,66
2015-05,60
2015-06,59
2015-07,64
2015-08,62
2015-09,58
2015-10,58
2015-11,63
2015-12,70
2016-01,86
2016-02,95
2016-03,98
2016-04,83
2016-05,77
2016-06,76
2016-07,85
2016-08,82
2016-09,66
2016-10,80
2016-11,89
2016-12,86
2017-01,77
2017-02,91
2017-03,87
2017-04,75
2017-05,80
2017-06,76
2017-07,82
2017-08,90
2017-09,84
2017-10,76
2017-11,79
2017-12,79
2018-01,68
2018-02,88
2018-03,93
2018-04,76
2018-05,73
2018-06,71
2018-07,84
2018-08,63
2018-09,63
2018-10,45
2018-11,64
2018-12,59
2019-01,58
2019-02,69
2019-03,71
2019-04,49
2019-05,45
2019-06,44
2019-07,41
2019-08,48
2019-09,45
2019-10,40
2019-11,47
2019-12,53
2020-01,55
2020-02,60
2020-03,51
2020-04,89
2020-05,100
2020-06,78
2020-07,63
2020-08,58
2020-09,49
2020-10,44
2020-11,47
2020-12,57
2021-01,53
2021-02,45
2021-03,63
2021-04,48
2021-05,49
2021-06,44
2021-07,47
2021-08,42
2021-09,37
2021-10,34
2021-11,37
2021-12,42
2022-01,36
2022-02,46
2022-03,50
2022-04,44
2022-05,39
2022-06,36
2022-07,39
2022-08,35
2022-09,27
2022-10,30
2022-11,40
2022-12,31
2023-01,36
2023-02,36
2023-03,39
2023-04,39
2023-05,32
2023-06,31
2023-07,37
2023-08,32
2023-09,24
2023-10,34
2023-11,42
2023-12,39
2024-01,35
