Category: All categories

Month,Nike slides: (United States)
2014-02,6
2014-03,7
2014-04,9
2014-05,11
2014-06,13
2014-07,10
2014-08,11
2014-09,9
2014-10,8
2014-11,9
2014-12,13
2015-01,6
2015-02,6
2015-03,9
2015-04,10
2015-05,13
2015-06,15
2015-07,15
2015-08,14
2015-09,12
2015-10,10
2015-11,14
2015-12,19
2016-01,11
2016-02,13
2016-03,21
2016-04,31
2016-05,34
2016-06,37
2016-07,35
2016-08,34
2016-09,29
2016-10,27
2016-11,35
2016-12,44
2017-01,21
2017-02,28
2017-03,39
2017-04,54
2017-05,50
2017-06,60
2017-07,57
2017-08,50
2017-09,39
2017-10,36
2017-11,47
2017-12,65
2018-01,25
2018-02,37
2018-03,47
2018-04,50
2018-05,70
2018-06,86
2018-07,69
2018-08,60
2018-09,45
2018-10,31
2018-11,48
2018-12,57
2019-01,27
2019-02,33
2019-03,40
2019-04,49
2019-05,57
2019-06,68
2019-07,59
2019-08,49
2019-09,35
2019-10,28
2019-11,38
2019-12,56
2020-01,28
2020-02,34
2020-03,36
2020-04,56
2020-05,90
2020-06,100
2020-07,81
2020-08,62
2020-09,42
2020-10,36
2020-11,57
2020-12,83
2021-01,37
2021-02,35
2021-03,54
2021-04,57
2021-05,63
2021-06,67
2021-07,57
2021-08,42
2021-09,36
2021-10,31
2021-11,46
2021-12,58
2022-01,28
2022-02,31
2022-03,43
2022-04,42
2022-05,46
2022-06,52
2022-07,51
2022-08,44
2022-09,35
2022-10,32
2022-11,48
2022-12,54
2023-01,40
2023-02,35
2023-03,35
2023-04,41
2023-05,46
2023-06,60
2023-07,62
2023-08,49
2023-09,38
2023-10,35
2023-11,54
2023-12,63
2024-01,16
