Category: All categories

Month,Fashion Nova shirt: (United States)
2014-01,1
2014-02,<1
2014-03,<1
2014-04,1
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,5
2014-10,<1
2014-11,0
2014-12,<1
2015-01,0
2015-02,3
2015-03,0
2015-04,3
2015-05,2
2015-06,4
2015-07,0
2015-08,3
2015-09,5
2015-10,4
2015-11,5
2015-12,6
2016-01,6
2016-02,7
2016-03,10
2016-04,13
2016-05,13
2016-06,14
2016-07,14
2016-08,14
2016-09,17
2016-10,18
2016-11,23
2016-12,17
2017-01,17
2017-02,27
2017-03,23
2017-04,25
2017-05,27
2017-06,26
2017-07,40
2017-08,37
2017-09,41
2017-10,53
2017-11,39
2017-12,32
2018-01,42
2018-02,51
2018-03,52
2018-04,56
2018-05,57
2018-06,61
2018-07,66
2018-08,73
2018-09,66
2018-10,68
2018-11,56
2018-12,56
2019-01,52
2019-02,63
2019-03,73
2019-04,77
2019-05,75
2019-06,73
2019-07,74
2019-08,73
2019-09,72
2019-10,86
2019-11,63
2019-12,67
2020-01,64
2020-02,73
2020-03,64
2020-04,69
2020-05,100
2020-06,92
2020-07,81
2020-08,72
2020-09,60
2020-10,76
2020-11,56
2020-12,58
2021-01,62
2021-02,58
2021-03,71
2021-04,69
2021-05,56
2021-06,67
2021-07,56
2021-08,64
2021-09,65
2021-10,73
2021-11,63
2021-12,66
2022-01,75
2022-02,83
2022-03,89
2022-04,81
2022-05,73
2022-06,72
2022-07,86
2022-08,81
2022-09,78
2022-10,69
2022-11,65
2022-12,70
2023-01,69
2023-02,81
2023-03,87
2023-04,81
2023-05,81
2023-06,77
2023-07,92
2023-08,97
2023-09,83
2023-10,76
2023-11,73
2023-12,52
2024-01,54
