Category: All categories

Month,Fashion Nova: (United States)
2014-01,0
2014-02,0
2014-03,<1
2014-04,<1
2014-05,<1
2014-06,0
2014-07,<1
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,<1
2015-02,0
2015-03,0
2015-04,0
2015-05,<1
2015-06,0
2015-07,0
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,<1
2016-01,<1
2016-02,<1
2016-03,<1
2016-04,<1
2016-05,<1
2016-06,<1
2016-07,<1
2016-08,<1
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,0
2017-04,<1
2017-05,0
2017-06,0
2017-07,0
2017-08,<1
2017-09,0
2017-10,<1
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,<1
2018-04,<1
2018-05,<1
2018-06,0
2018-07,0
2018-08,0
2018-09,<1
2018-10,0
2018-11,<1
2018-12,<1
2019-01,<1
2019-02,<1
2019-03,0
2019-04,0
2019-05,100
2019-06,42
2019-07,<1
2019-08,2
2019-09,2
2019-10,2
2019-11,1
2019-12,61
2020-01,94
2020-02,93
2020-03,48
2020-04,83
2020-05,87
2020-06,82
2020-07,71
2020-08,62
2020-09,77
2020-10,89
2020-11,88
2020-12,79
2021-01,73
2021-02,59
2021-03,4
2021-04,3
2021-05,1
2021-06,4
2021-07,3
2021-08,2
2021-09,4
2021-10,10
2021-11,12
2021-12,7
2022-01,15
2022-02,63
2022-03,81
2022-04,76
2022-05,71
2022-06,63
2022-07,59
2022-08,60
2022-09,65
2022-10,84
2022-11,72
2022-12,72
2023-01,63
2023-02,67
2023-03,66
2023-04,65
2023-05,67
2023-06,61
2023-07,60
2023-08,60
2023-09,64
2023-10,75
2023-11,79
2023-12,60
2024-01,57
