Category: All categories

Month,PANDORA charms: (United States)
2014-01,26
2014-02,35
2014-03,26
2014-04,25
2014-05,40
2014-06,20
2014-07,21
2014-08,19
2014-09,21
2014-10,21
2014-11,41
2014-12,88
2015-01,27
2015-02,34
2015-03,28
2015-04,28
2015-05,38
2015-06,27
2015-07,25
2015-08,23
2015-09,22
2015-10,22
2015-11,51
2015-12,100
2016-01,32
2016-02,47
2016-03,30
2016-04,36
2016-05,46
2016-06,26
2016-07,27
2016-08,21
2016-09,25
2016-10,25
2016-11,46
2016-12,81
2017-01,26
2017-02,28
2017-03,22
2017-04,21
2017-05,38
2017-06,22
2017-07,20
2017-08,19
2017-09,18
2017-10,18
2017-11,38
2017-12,74
2018-01,24
2018-02,27
2018-03,21
2018-04,24
2018-05,33
2018-06,20
2018-07,19
2018-08,20
2018-09,18
2018-10,18
2018-11,38
2018-12,59
2019-01,21
2019-02,23
2019-03,17
2019-04,21
2019-05,30
2019-06,16
2019-07,17
2019-08,15
2019-09,17
2019-10,15
2019-11,25
2019-12,61
2020-01,20
2020-02,20
2020-03,13
2020-04,18
2020-05,27
2020-06,16
2020-07,18
2020-08,18
2020-09,20
2020-10,16
2020-11,32
2020-12,53
2021-01,21
2021-02,22
2021-03,16
2021-04,19
2021-05,25
2021-06,16
2021-07,14
2021-08,16
2021-09,18
2021-10,16
2021-11,31
2021-12,53
2022-01,19
2022-02,24
2022-03,16
2022-04,18
2022-05,23
2022-06,14
2022-07,15
2022-08,14
2022-09,13
2022-10,13
2022-11,21
2022-12,38
2023-01,16
2023-02,16
2023-03,12
2023-04,12
2023-05,17
2023-06,13
2023-07,13
2023-08,12
2023-09,13
2023-10,12
2023-11,23
2023-12,43
