Category: All categories

Month,Spalding basketball: (United States)
2014-01,32
2014-02,32
2014-03,40
2014-04,46
2014-05,40
2014-06,34
2014-07,29
2014-08,22
2014-09,23
2014-10,23
2014-11,33
2014-12,52
2015-01,27
2015-02,32
2015-03,36
2015-04,42
2015-05,38
2015-06,39
2015-07,28
2015-08,27
2015-09,21
2015-10,22
2015-11,40
2015-12,56
2016-01,29
2016-02,39
2016-03,52
2016-04,46
2016-05,45
2016-06,46
2016-07,36
2016-08,27
2016-09,26
2016-10,26
2016-11,43
2016-12,61
2017-01,34
2017-02,42
2017-03,43
2017-04,49
2017-05,40
2017-06,46
2017-07,37
2017-08,31
2017-09,24
2017-10,28
2017-11,42
2017-12,60
2018-01,31
2018-02,37
2018-03,42
2018-04,36
2018-05,38
2018-06,39
2018-07,34
2018-08,26
2018-09,24
2018-10,26
2018-11,39
2018-12,53
2019-01,32
2019-02,34
2019-03,43
2019-04,49
2019-05,43
2019-06,44
2019-07,36
2019-08,29
2019-09,28
2019-10,25
2019-11,44
2019-12,56
2020-01,33
2020-02,42
2020-03,57
2020-04,100
2020-05,95
2020-06,70
2020-07,46
2020-08,41
2020-09,31
2020-10,27
2020-11,37
2020-12,50
2021-01,28
2021-02,27
2021-03,44
2021-04,42
2021-05,40
2021-06,41
2021-07,42
2021-08,33
2021-09,28
2021-10,33
2021-11,51
2021-12,62
2022-01,36
2022-02,39
2022-03,50
2022-04,50
2022-05,47
2022-06,47
2022-07,40
2022-08,31
2022-09,27
2022-10,30
2022-11,41
2022-12,54
2023-01,34
2023-02,36
2023-03,38
2023-04,46
2023-05,42
2023-06,39
2023-07,31
2023-08,28
2023-09,23
2023-10,26
2023-11,38
2023-12,48
