Category: All categories

Month,Titleist: (United States)
2014-01,39
2014-02,41
2014-03,49
2014-04,55
2014-05,53
2014-06,58
2014-07,56
2014-08,59
2014-09,42
2014-10,37
2014-11,35
2014-12,39
2015-01,32
2015-02,40
2015-03,47
2015-04,62
2015-05,51
2015-06,54
2015-07,59
2015-08,56
2015-09,46
2015-10,39
2015-11,39
2015-12,35
2016-01,31
2016-02,41
2016-03,47
2016-04,59
2016-05,59
2016-06,60
2016-07,55
2016-08,46
2016-09,40
2016-10,39
2016-11,35
2016-12,42
2017-01,33
2017-02,38
2017-03,50
2017-04,62
2017-05,57
2017-06,68
2017-07,68
2017-08,67
2017-09,52
2017-10,46
2017-11,37
2017-12,44
2018-01,38
2018-02,51
2018-03,59
2018-04,74
2018-05,70
2018-06,79
2018-07,70
2018-08,70
2018-09,50
2018-10,38
2018-11,36
2018-12,40
2019-01,40
2019-02,48
2019-03,53
2019-04,71
2019-05,66
2019-06,78
2019-07,73
2019-08,70
2019-09,47
2019-10,39
2019-11,35
2019-12,43
2020-01,39
2020-02,51
2020-03,41
2020-04,40
2020-05,64
2020-06,80
2020-07,86
2020-08,90
2020-09,72
2020-10,60
2020-11,60
2020-12,65
2021-01,52
2021-02,54
2021-03,69
2021-04,80
2021-05,73
2021-06,79
2021-07,76
2021-08,72
2021-09,63
2021-10,52
2021-11,52
2021-12,58
2022-01,52
2022-02,53
2022-03,64
2022-04,75
2022-05,73
2022-06,87
2022-07,87
2022-08,81
2022-09,66
2022-10,54
2022-11,50
2022-12,55
2023-01,53
2023-02,72
2023-03,76
2023-04,85
2023-05,87
2023-06,100
2023-07,97
2023-08,92
2023-09,64
2023-10,56
2023-11,57
2023-12,59
