Category: All categories

Month,Titleist golf: (United States)
2014-01,35
2014-02,43
2014-03,52
2014-04,63
2014-05,62
2014-06,60
2014-07,58
2014-08,56
2014-09,43
2014-10,32
2014-11,30
2014-12,44
2015-01,30
2015-02,38
2015-03,45
2015-04,56
2015-05,54
2015-06,59
2015-07,59
2015-08,53
2015-09,45
2015-10,34
2015-11,33
2015-12,38
2016-01,27
2016-02,37
2016-03,48
2016-04,55
2016-05,54
2016-06,58
2016-07,52
2016-08,45
2016-09,37
2016-10,35
2016-11,35
2016-12,40
2017-01,26
2017-02,36
2017-03,44
2017-04,56
2017-05,47
2017-06,57
2017-07,54
2017-08,51
2017-09,40
2017-10,35
2017-11,37
2017-12,44
2018-01,32
2018-02,48
2018-03,49
2018-04,61
2018-05,57
2018-06,60
2018-07,56
2018-08,54
2018-09,39
2018-10,32
2018-11,32
2018-12,37
2019-01,32
2019-02,40
2019-03,44
2019-04,58
2019-05,56
2019-06,65
2019-07,60
2019-08,52
2019-09,40
2019-10,34
2019-11,34
2019-12,43
2020-01,34
2020-02,43
2020-03,36
2020-04,38
2020-05,61
2020-06,78
2020-07,86
2020-08,91
2020-09,65
2020-10,51
2020-11,57
2020-12,59
2021-01,44
2021-02,48
2021-03,62
2021-04,72
2021-05,70
2021-06,73
2021-07,68
2021-08,61
2021-09,54
2021-10,43
2021-11,49
2021-12,57
2022-01,47
2022-02,51
2022-03,60
2022-04,68
2022-05,66
2022-06,86
2022-07,80
2022-08,74
2022-09,57
2022-10,48
2022-11,49
2022-12,55
2023-01,46
2023-02,60
2023-03,66
2023-04,78
2023-05,71
2023-06,100
2023-07,84
2023-08,85
2023-09,52
2023-10,44
2023-11,51
2023-12,57
