Category: All categories

Month,academy sports: (United States)
2014-01,51
2014-02,53
2014-03,55
2014-04,50
2014-05,57
2014-06,63
2014-07,60
2014-08,62
2014-09,48
2014-10,49
2014-11,77
2014-12,89
2015-01,54
2015-02,52
2015-03,56
2015-04,52
2015-05,58
2015-06,62
2015-07,68
2015-08,67
2015-09,56
2015-10,54
2015-11,80
2015-12,100
2016-01,60
2016-02,54
2016-03,55
2016-04,55
2016-05,62
2016-06,73
2016-07,69
2016-08,61
2016-09,55
2016-10,52
2016-11,83
2016-12,92
2017-01,52
2017-02,54
2017-03,55
2017-04,53
2017-05,57
2017-06,64
2017-07,62
2017-08,60
2017-09,52
2017-10,52
2017-11,77
2017-12,91
2018-01,49
2018-02,50
2018-03,60
2018-04,56
2018-05,55
2018-06,64
2018-07,59
2018-08,59
2018-09,49
2018-10,46
2018-11,79
2018-12,85
2019-01,48
2019-02,53
2019-03,63
2019-04,53
2019-05,59
2019-06,68
2019-07,62
2019-08,64
2019-09,53
2019-10,53
2019-11,77
2019-12,87
2020-01,56
2020-02,57
2020-03,68
2020-04,88
2020-05,91
2020-06,100
2020-07,82
2020-08,65
2020-09,63
2020-10,61
2020-11,83
2020-12,95
2021-01,66
2021-02,58
2021-03,66
2021-04,68
2021-05,68
2021-06,74
2021-07,72
2021-08,67
2021-09,63
2021-10,56
2021-11,84
2021-12,89
2022-01,50
2022-02,52
2022-03,58
2022-04,53
2022-05,58
2022-06,67
2022-07,65
2022-08,62
2022-09,56
2022-10,50
2022-11,74
2022-12,93
2023-01,54
2023-02,62
2023-03,60
2023-04,63
2023-05,68
2023-06,76
2023-07,72
2023-08,62
2023-09,55
2023-10,54
2023-11,79
2023-12,83
