Category: All categories

Month,Acushnet Holdings: (United States)
2014-01,0
2014-02,0
2014-03,6
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,7
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,20
2015-09,0
2015-10,0
2015-11,0
2015-12,29
2016-01,9
2016-02,0
2016-03,10
2016-04,0
2016-05,10
2016-06,11
2016-07,16
2016-08,13
2016-09,12
2016-10,100
2016-11,0
2016-12,5
2017-01,0
2017-02,11
2017-03,17
2017-04,12
2017-05,0
2017-06,22
2017-07,8
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,22
2018-01,0
2018-02,6
2018-03,5
2018-04,10
2018-05,0
2018-06,0
2018-07,7
2018-08,19
2018-09,7
2018-10,0
2018-11,6
2018-12,0
2019-01,12
2019-02,12
2019-03,10
2019-04,17
2019-05,0
2019-06,15
2019-07,14
2019-08,0
2019-09,0
2019-10,14
2019-11,11
2019-12,11
2020-01,6
2020-02,15
2020-03,9
2020-04,7
2020-05,13
2020-06,18
2020-07,24
2020-08,14
2020-09,17
2020-10,15
2020-11,8
2020-12,0
2021-01,4
2021-02,56
2021-03,32
2021-04,33
2021-05,47
2021-06,36
2021-07,45
2021-08,45
2021-09,30
2021-10,38
2021-11,34
2021-12,21
2022-01,51
2022-02,43
2022-03,41
2022-04,71
2022-05,33
2022-06,12
2022-07,27
2022-08,22
2022-09,11
2022-10,22
2022-11,12
2022-12,12
2023-01,10
2023-02,20
2023-03,16
2023-04,27
2023-05,28
2023-06,23
2023-07,27
2023-08,38
2023-09,28
2023-10,26
2023-11,18
2023-12,19
