Category: All categories

Month,adidas basketball shoes: (United States)
2014-01,45
2014-02,52
2014-03,48
2014-04,40
2014-05,40
2014-06,36
2014-07,42
2014-08,42
2014-09,43
2014-10,47
2014-11,63
2014-12,49
2015-01,41
2015-02,41
2015-03,39
2015-04,34
2015-05,33
2015-06,32
2015-07,32
2015-08,37
2015-09,32
2015-10,51
2015-11,62
2015-12,52
2016-01,50
2016-02,54
2016-03,52
2016-04,39
2016-05,40
2016-06,44
2016-07,41
2016-08,39
2016-09,46
2016-10,61
2016-11,74
2016-12,73
2017-01,61
2017-02,56
2017-03,59
2017-04,49
2017-05,45
2017-06,49
2017-07,51
2017-08,53
2017-09,53
2017-10,70
2017-11,89
2017-12,75
2018-01,59
2018-02,64
2018-03,59
2018-04,47
2018-05,44
2018-06,46
2018-07,42
2018-08,46
2018-09,53
2018-10,74
2018-11,100
2018-12,73
2019-01,62
2019-02,60
2019-03,60
2019-04,57
2019-05,45
2019-06,44
2019-07,51
2019-08,54
2019-09,53
2019-10,67
2019-11,94
2019-12,72
2020-01,60
2020-02,66
2020-03,37
2020-04,26
2020-05,29
2020-06,31
2020-07,34
2020-08,38
2020-09,40
2020-10,42
2020-11,41
2020-12,40
2021-01,39
2021-02,37
2021-03,45
2021-04,42
2021-05,34
2021-06,42
2021-07,45
2021-08,45
2021-09,43
2021-10,62
2021-11,87
2021-12,63
2022-01,60
2022-02,59
2022-03,65
2022-04,56
2022-05,47
2022-06,50
2022-07,48
2022-08,44
2022-09,41
2022-10,59
2022-11,78
2022-12,58
2023-01,51
2023-02,46
2023-03,46
2023-04,43
2023-05,46
2023-06,42
2023-07,42
2023-08,41
2023-09,47
2023-10,53
2023-11,65
2023-12,56
