Category: All categories

Month,air transport services group: (United States)
2014-01,0
2014-02,0
2014-03,0
2014-04,11
2014-05,0
2014-06,0
2014-07,0
2014-08,18
2014-09,0
2014-10,11
2014-11,0
2014-12,9
2015-01,42
2015-02,16
2015-03,0
2015-04,0
2015-05,14
2015-06,11
2015-07,0
2015-08,0
2015-09,0
2015-10,19
2015-11,19
2015-12,28
2016-01,8
2016-02,15
2016-03,100
2016-04,10
2016-05,14
2016-06,17
2016-07,0
2016-08,27
2016-09,0
2016-10,11
2016-11,16
2016-12,33
2017-01,17
2017-02,16
2017-03,0
2017-04,0
2017-05,0
2017-06,19
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,11
2017-12,12
2018-01,8
2018-02,0
2018-03,11
2018-04,12
2018-05,14
2018-06,0
2018-07,13
2018-08,0
2018-09,8
2018-10,31
2018-11,12
2018-12,41
2019-01,0
2019-02,19
2019-03,13
2019-04,18
2019-05,19
2019-06,6
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,6
2019-12,12
2020-01,5
2020-02,24
2020-03,9
2020-04,17
2020-05,25
2020-06,29
2020-07,30
2020-08,21
2020-09,11
2020-10,19
2020-11,8
2020-12,22
2021-01,19
2021-02,15
2021-03,10
2021-04,20
2021-05,7
2021-06,14
2021-07,0
2021-08,7
2021-09,0
2021-10,17
2021-11,11
2021-12,0
2022-01,27
2022-02,11
2022-03,0
2022-04,9
2022-05,9
2022-06,0
2022-07,7
2022-08,0
2022-09,0
2022-10,15
2022-11,6
2022-12,20
2023-01,7
2023-02,12
2023-03,0
2023-04,15
2023-05,16
2023-06,15
2023-07,11
2023-08,0
2023-09,0
2023-10,6
2023-11,28
2023-12,15
