Category: All categories

Month,Airbnb: (United States)
2014-01,10
2014-02,10
2014-03,13
2014-04,15
2014-05,17
2014-06,17
2014-07,22
2014-08,19
2014-09,16
2014-10,16
2014-11,14
2014-12,14
2015-01,18
2015-02,19
2015-03,21
2015-04,24
2015-05,27
2015-06,31
2015-07,34
2015-08,33
2015-09,26
2015-10,24
2015-11,24
2015-12,25
2016-01,27
2016-02,31
2016-03,32
2016-04,32
2016-05,42
2016-06,48
2016-07,45
2016-08,39
2016-09,33
2016-10,34
2016-11,33
2016-12,33
2017-01,42
2017-02,47
2017-03,50
2017-04,49
2017-05,51
2017-06,59
2017-07,62
2017-08,56
2017-09,46
2017-10,47
2017-11,42
2017-12,43
2018-01,58
2018-02,58
2018-03,63
2018-04,58
2018-05,61
2018-06,66
2018-07,70
2018-08,61
2018-09,52
2018-10,48
2018-11,44
2018-12,45
2019-01,63
2019-02,64
2019-03,63
2019-04,61
2019-05,68
2019-06,81
2019-07,81
2019-08,72
2019-09,60
2019-10,59
2019-11,52
2019-12,53
2020-01,70
2020-02,70
2020-03,51
2020-04,33
2020-05,65
2020-06,87
2020-07,81
2020-08,78
2020-09,62
2020-10,56
2020-11,47
2020-12,67
2021-01,67
2021-02,73
2021-03,91
2021-04,78
2021-05,83
2021-06,88
2021-07,83
2021-08,67
2021-09,62
2021-10,56
2021-11,57
2021-12,59
2022-01,87
2022-02,92
2022-03,96
2022-04,92
2022-05,92
2022-06,99
2022-07,100
2022-08,86
2022-09,69
2022-10,67
2022-11,62
2022-12,68
2023-01,84
2023-02,85
2023-03,86
2023-04,76
2023-05,88
2023-06,98
2023-07,98
2023-08,84
2023-09,73
2023-10,69
2023-11,63
2023-12,66
