Category: All categories

Month,Alamo: (United States)
2014-01,72
2014-02,68
2014-03,71
2014-04,67
2014-05,72
2014-06,76
2014-07,81
2014-08,77
2014-09,65
2014-10,67
2014-11,71
2014-12,84
2015-01,84
2015-02,75
2015-03,74
2015-04,70
2015-05,86
2015-06,87
2015-07,87
2015-08,81
2015-09,71
2015-10,71
2015-11,72
2015-12,86
2016-01,92
2016-02,82
2016-03,82
2016-04,75
2016-05,88
2016-06,85
2016-07,100
2016-08,81
2016-09,70
2016-10,76
2016-11,88
2016-12,94
2017-01,82
2017-02,83
2017-03,91
2017-04,81
2017-05,87
2017-06,91
2017-07,94
2017-08,82
2017-09,78
2017-10,70
2017-11,80
2017-12,93
2018-01,83
2018-02,83
2018-03,85
2018-04,82
2018-05,84
2018-06,93
2018-07,94
2018-08,88
2018-09,77
2018-10,76
2018-11,79
2018-12,100
2019-01,77
2019-02,79
2019-03,88
2019-04,85
2019-05,83
2019-06,85
2019-07,95
2019-08,83
2019-09,75
2019-10,78
2019-11,79
2019-12,93
2020-01,86
2020-02,81
2020-03,53
2020-04,33
2020-05,43
2020-06,50
2020-07,44
2020-08,45
2020-09,48
2020-10,46
2020-11,42
2020-12,48
2021-01,52
2021-02,47
2021-03,58
2021-04,57
2021-05,57
2021-06,61
2021-07,64
2021-08,55
2021-09,53
2021-10,59
2021-11,57
2021-12,74
2022-01,53
2022-02,56
2022-03,64
2022-04,59
2022-05,62
2022-06,65
2022-07,71
2022-08,62
2022-09,57
2022-10,56
2022-11,58
2022-12,78
2023-01,62
2023-02,64
2023-03,62
2023-04,64
2023-05,65
2023-06,70
2023-07,82
2023-08,68
2023-09,56
2023-10,59
2023-11,64
2023-12,78
