Category: All categories

Month,alaska airlines: (United States)
2014-01,85
2014-02,80
2014-03,77
2014-04,77
2014-05,84
2014-06,87
2014-07,87
2014-08,85
2014-09,78
2014-10,72
2014-11,70
2014-12,73
2015-01,83
2015-02,81
2015-03,79
2015-04,77
2015-05,75
2015-06,83
2015-07,90
2015-08,84
2015-09,75
2015-10,74
2015-11,69
2015-12,72
2016-01,70
2016-02,74
2016-03,73
2016-04,73
2016-05,71
2016-06,49
2016-07,63
2016-08,74
2016-09,61
2016-10,58
2016-11,41
2016-12,64
2017-01,85
2017-02,78
2017-03,76
2017-04,63
2017-05,73
2017-06,82
2017-07,79
2017-08,82
2017-09,74
2017-10,75
2017-11,75
2017-12,69
2018-01,82
2018-02,76
2018-03,93
2018-04,79
2018-05,92
2018-06,93
2018-07,94
2018-08,100
2018-09,85
2018-10,80
2018-11,83
2018-12,76
2019-01,92
2019-02,92
2019-03,92
2019-04,83
2019-05,92
2019-06,98
2019-07,95
2019-08,92
2019-09,85
2019-10,76
2019-11,76
2019-12,89
2020-01,86
2020-02,82
2020-03,80
2020-04,26
2020-05,32
2020-06,40
2020-07,32
2020-08,34
2020-09,34
2020-10,36
2020-11,32
2020-12,35
2021-01,33
2021-02,42
2021-03,50
2021-04,53
2021-05,57
2021-06,66
2021-07,63
2021-08,54
2021-09,54
2021-10,55
2021-11,56
2021-12,65
2022-01,70
2022-02,75
2022-03,78
2022-04,94
2022-05,86
2022-06,85
2022-07,84
2022-08,74
2022-09,70
2022-10,66
2022-11,67
2022-12,77
2023-01,79
2023-02,79
2023-03,76
2023-04,74
2023-05,73
2023-06,84
2023-07,85
2023-08,77
2023-09,78
2023-10,74
2023-11,66
2023-12,67
