Category: All categories

Month,alfred kelly: (United States)
2014-01,41
2014-02,29
2014-03,29
2014-04,33
2014-05,43
2014-06,31
2014-07,16
2014-08,22
2014-09,28
2014-10,28
2014-11,38
2014-12,21
2015-01,22
2015-02,27
2015-03,20
2015-04,24
2015-05,51
2015-06,55
2015-07,33
2015-08,36
2015-09,25
2015-10,24
2015-11,16
2015-12,26
2016-01,35
2016-02,24
2016-03,20
2016-04,29
2016-05,33
2016-06,28
2016-07,23
2016-08,18
2016-09,27
2016-10,100
2016-11,26
2016-12,28
2017-01,46
2017-02,37
2017-03,42
2017-04,39
2017-05,33
2017-06,22
2017-07,48
2017-08,41
2017-09,28
2017-10,29
2017-11,28
2017-12,34
2018-01,38
2018-02,22
2018-03,23
2018-04,35
2018-05,34
2018-06,21
2018-07,14
2018-08,42
2018-09,39
2018-10,34
2018-11,24
2018-12,26
2019-01,39
2019-02,20
2019-03,21
2019-04,21
2019-05,19
2019-06,25
2019-07,26
2019-08,26
2019-09,25
2019-10,21
2019-11,26
2019-12,12
2020-01,14
2020-02,24
2020-03,50
2020-04,35
2020-05,28
2020-06,25
2020-07,25
2020-08,18
2020-09,23
2020-10,23
2020-11,35
2020-12,20
2021-01,26
2021-02,13
2021-03,22
2021-04,19
2021-05,34
2021-06,31
2021-07,30
2021-08,25
2021-09,18
2021-10,28
2021-11,22
2021-12,32
2022-01,35
2022-02,14
2022-03,18
2022-04,27
2022-05,25
2022-06,25
2022-07,24
2022-08,30
2022-09,19
2022-10,24
2022-11,34
2022-12,22
2023-01,22
2023-02,21
2023-03,23
2023-04,25
2023-05,22
2023-06,25
2023-07,19
2023-08,16
2023-09,22
2023-10,27
2023-11,22
2023-12,22
