Category: All categories

Month,allegiant air: (United States)
2014-01,100
2014-02,80
2014-03,81
2014-04,67
2014-05,75
2014-06,77
2014-07,79
2014-08,66
2014-09,67
2014-10,59
2014-11,65
2014-12,67
2015-01,94
2015-02,89
2015-03,88
2015-04,79
2015-05,70
2015-06,83
2015-07,81
2015-08,69
2015-09,58
2015-10,58
2015-11,59
2015-12,65
2016-01,79
2016-02,77
2016-03,85
2016-04,64
2016-05,54
2016-06,42
2016-07,62
2016-08,65
2016-09,53
2016-10,40
2016-11,36
2016-12,50
2017-01,70
2017-02,56
2017-03,41
2017-04,39
2017-05,58
2017-06,85
2017-07,52
2017-08,30
2017-09,30
2017-10,52
2017-11,48
2017-12,31
2018-01,39
2018-02,43
2018-03,50
2018-04,47
2018-05,35
2018-06,40
2018-07,43
2018-08,32
2018-09,27
2018-10,28
2018-11,29
2018-12,28
2019-01,36
2019-02,39
2019-03,38
2019-04,36
2019-05,40
2019-06,46
2019-07,42
2019-08,37
2019-09,30
2019-10,31
2019-11,31
2019-12,34
2020-01,46
2020-02,41
2020-03,32
2020-04,10
2020-05,20
2020-06,25
2020-07,15
2020-08,15
2020-09,17
2020-10,18
2020-11,14
2020-12,14
2021-01,18
2021-02,26
2021-03,29
2021-04,27
2021-05,29
2021-06,34
2021-07,34
2021-08,22
2021-09,20
2021-10,23
2021-11,24
2021-12,25
2022-01,31
2022-02,37
2022-03,40
2022-04,35
2022-05,32
2022-06,34
2022-07,31
2022-08,28
2022-09,23
2022-10,24
2022-11,25
2022-12,27
2023-01,31
2023-02,34
2023-03,30
2023-04,28
2023-05,30
2023-06,34
2023-07,33
2023-08,26
2023-09,24
2023-10,22
2023-11,23
2023-12,22
