Category: All categories

Month,american airlines: (United States)
2014-01,72
2014-02,65
2014-03,65
2014-04,65
2014-05,65
2014-06,68
2014-07,62
2014-08,60
2014-09,57
2014-10,57
2014-11,53
2014-12,56
2015-01,65
2015-02,62
2015-03,66
2015-04,63
2015-05,67
2015-06,74
2015-07,77
2015-08,69
2015-09,70
2015-10,77
2015-11,77
2015-12,82
2016-01,87
2016-02,84
2016-03,90
2016-04,85
2016-05,96
2016-06,94
2016-07,100
2016-08,83
2016-09,77
2016-10,80
2016-11,76
2016-12,77
2017-01,80
2017-02,79
2017-03,90
2017-04,92
2017-05,85
2017-06,95
2017-07,90
2017-08,88
2017-09,79
2017-10,81
2017-11,75
2017-12,76
2018-01,83
2018-02,83
2018-03,90
2018-04,80
2018-05,84
2018-06,88
2018-07,92
2018-08,83
2018-09,79
2018-10,78
2018-11,73
2018-12,70
2019-01,83
2019-02,80
2019-03,86
2019-04,79
2019-05,81
2019-06,93
2019-07,84
2019-08,87
2019-09,77
2019-10,71
2019-11,68
2019-12,73
2020-01,78
2020-02,75
2020-03,84
2020-04,33
2020-05,37
2020-06,50
2020-07,40
2020-08,39
2020-09,41
2020-10,42
2020-11,38
2020-12,40
2021-01,41
2021-02,47
2021-03,59
2021-04,58
2021-05,67
2021-06,81
2021-07,74
2021-08,65
2021-09,61
2021-10,69
2021-11,72
2021-12,63
2022-01,74
2022-02,81
2022-03,88
2022-04,80
2022-05,80
2022-06,91
2022-07,84
2022-08,80
2022-09,69
2022-10,69
2022-11,66
2022-12,73
2023-01,78
2023-02,80
2023-03,77
2023-04,75
2023-05,75
2023-06,80
2023-07,85
2023-08,73
2023-09,69
2023-10,64
2023-11,65
2023-12,62
