Category: All categories

Month,Baseball bat: (United States)
2014-01,40
2014-02,55
2014-03,72
2014-04,81
2014-05,79
2014-06,82
2014-07,63
2014-08,56
2014-09,44
2014-10,45
2014-11,35
2014-12,37
2015-01,38
2015-02,54
2015-03,73
2015-04,76
2015-05,76
2015-06,100
2015-07,64
2015-08,59
2015-09,44
2015-10,57
2015-11,37
2015-12,38
2016-01,40
2016-02,61
2016-03,81
2016-04,87
2016-05,90
2016-06,81
2016-07,66
2016-08,54
2016-09,51
2016-10,63
2016-11,35
2016-12,32
2017-01,29
2017-02,45
2017-03,56
2017-04,58
2017-05,56
2017-06,52
2017-07,47
2017-08,41
2017-09,36
2017-10,41
2017-11,41
2017-12,31
2018-01,35
2018-02,58
2018-03,97
2018-04,95
2018-05,81
2018-06,76
2018-07,66
2018-08,55
2018-09,39
2018-10,41
2018-11,34
2018-12,34
2019-01,37
2019-02,55
2019-03,72
2019-04,83
2019-05,74
2019-06,71
2019-07,55
2019-08,51
2019-09,40
2019-10,43
2019-11,35
2019-12,32
2020-01,39
2020-02,55
2020-03,44
2020-04,26
2020-05,30
2020-06,44
2020-07,47
2020-08,45
2020-09,44
2020-10,46
2020-11,35
2020-12,31
2021-01,34
2021-02,45
2021-03,68
2021-04,80
2021-05,80
2021-06,84
2021-07,68
2021-08,56
2021-09,51
2021-10,53
2021-11,46
2021-12,37
2022-01,44
2022-02,66
2022-03,79
2022-04,83
2022-05,87
2022-06,86
2022-07,74
2022-08,67
2022-09,54
2022-10,54
2022-11,47
2022-12,38
2023-01,48
2023-02,63
2023-03,88
2023-04,89
2023-05,90
2023-06,89
2023-07,72
2023-08,64
2023-09,58
2023-10,53
2023-11,48
2023-12,41
