Category: All categories

Month,best cruise line: (United States)
2014-01,58
2014-02,39
2014-03,35
2014-04,31
2014-05,39
2014-06,41
2014-07,40
2014-08,29
2014-09,33
2014-10,30
2014-11,28
2014-12,28
2015-01,54
2015-02,48
2015-03,41
2015-04,32
2015-05,34
2015-06,34
2015-07,36
2015-08,40
2015-09,30
2015-10,23
2015-11,23
2015-12,26
2016-01,47
2016-02,45
2016-03,31
2016-04,26
2016-05,28
2016-06,31
2016-07,37
2016-08,27
2016-09,23
2016-10,26
2016-11,28
2016-12,31
2017-01,44
2017-02,39
2017-03,39
2017-04,41
2017-05,33
2017-06,33
2017-07,36
2017-08,31
2017-09,28
2017-10,28
2017-11,27
2017-12,28
2018-01,49
2018-02,48
2018-03,34
2018-04,30
2018-05,31
2018-06,41
2018-07,38
2018-08,38
2018-09,38
2018-10,29
2018-11,29
2018-12,32
2019-01,58
2019-02,46
2019-03,38
2019-04,34
2019-05,46
2019-06,45
2019-07,42
2019-08,47
2019-09,41
2019-10,34
2019-11,32
2019-12,46
2020-01,71
2020-02,38
2020-03,36
2020-04,24
2020-05,19
2020-06,19
2020-07,11
2020-08,12
2020-09,14
2020-10,12
2020-11,12
2020-12,16
2021-01,17
2021-02,20
2021-03,18
2021-04,18
2021-05,23
2021-06,29
2021-07,27
2021-08,17
2021-09,16
2021-10,26
2021-11,27
2021-12,21
2022-01,34
2022-02,37
2022-03,47
2022-04,51
2022-05,46
2022-06,52
2022-07,64
2022-08,64
2022-09,51
2022-10,49
2022-11,58
2022-12,64
2023-01,100
2023-02,81
2023-03,75
2023-04,68
2023-05,64
2023-06,73
2023-07,76
2023-08,58
2023-09,54
2023-10,52
2023-11,55
2023-12,59
