Category: All categories

Month,best time of year to go on a cruise: (United States)
2014-01,64
2014-02,52
2014-03,0
2014-04,43
2014-05,27
2014-06,0
2014-07,74
2014-08,2
2014-09,0
2014-10,49
2014-11,0
2014-12,1
2015-01,74
2015-02,41
2015-03,0
2015-04,0
2015-05,57
2015-06,0
2015-07,49
2015-08,39
2015-09,2
2015-10,1
2015-11,41
2015-12,23
2016-01,26
2016-02,30
2016-03,28
2016-04,0
2016-05,87
2016-06,51
2016-07,34
2016-08,0
2016-09,31
2016-10,0
2016-11,0
2016-12,27
2017-01,23
2017-02,63
2017-03,30
2017-04,0
2017-05,0
2017-06,0
2017-07,45
2017-08,44
2017-09,33
2017-10,32
2017-11,39
2017-12,21
2018-01,51
2018-02,23
2018-03,46
2018-04,<1
2018-05,24
2018-06,41
2018-07,29
2018-08,49
2018-09,62
2018-10,38
2018-11,57
2018-12,35
2019-01,60
2019-02,30
2019-03,34
2019-04,27
2019-05,18
2019-06,53
2019-07,40
2019-08,15
2019-09,30
2019-10,45
2019-11,100
2019-12,30
2020-01,48
2020-02,68
2020-03,15
2020-04,21
2020-05,0
2020-06,0
2020-07,1
2020-08,17
2020-09,0
2020-10,0
2020-11,1
2020-12,19
2021-01,1
2021-02,0
2021-03,16
2021-04,0
2021-05,21
2021-06,0
2021-07,42
2021-08,22
2021-09,0
2021-10,39
2021-11,27
2021-12,0
2022-01,30
2022-02,62
2022-03,17
2022-04,20
2022-05,30
2022-06,47
2022-07,0
2022-08,74
2022-09,46
2022-10,54
2022-11,44
2022-12,58
2023-01,77
2023-02,45
2023-03,35
2023-04,59
2023-05,44
2023-06,46
2023-07,50
2023-08,58
2023-09,32
2023-10,56
2023-11,45
2023-12,29
