Category: All categories

Month,big city vacations: (United States)
2014-01,41
2014-02,0
2014-03,37
2014-04,0
2014-05,73
2014-06,57
2014-07,54
2014-08,35
2014-09,0
2014-10,0
2014-11,0
2014-12,50
2015-01,47
2015-02,0
2015-03,28
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,21
2015-10,0
2015-11,0
2015-12,51
2016-01,0
2016-02,0
2016-03,0
2016-04,33
2016-05,0
2016-06,0
2016-07,0
2016-08,22
2016-09,0
2016-10,28
2016-11,27
2016-12,25
2017-01,20
2017-02,0
2017-03,0
2017-04,46
2017-05,22
2017-06,0
2017-07,19
2017-08,28
2017-09,36
2017-10,19
2017-11,41
2017-12,22
2018-01,22
2018-02,74
2018-03,92
2018-04,0
2018-05,21
2018-06,23
2018-07,100
2018-08,18
2018-09,0
2018-10,0
2018-11,0
2018-12,29
2019-01,27
2019-02,18
2019-03,0
2019-04,18
2019-05,0
2019-06,32
2019-07,57
2019-08,14
2019-09,39
2019-10,12
2019-11,22
2019-12,38
2020-01,12
2020-02,19
2020-03,0
2020-04,0
2020-05,34
2020-06,0
2020-07,0
2020-08,0
2020-09,20
2020-10,29
2020-11,0
2020-12,0
2021-01,0
2021-02,17
2021-03,43
2021-04,0
2021-05,18
2021-06,29
2021-07,35
2021-08,41
2021-09,0
2021-10,0
2021-11,34
2021-12,0
2022-01,73
2022-02,47
2022-03,0
2022-04,22
2022-05,23
2022-06,52
2022-07,29
2022-08,66
2022-09,15
2022-10,24
2022-11,0
2022-12,21
2023-01,43
2023-02,23
2023-03,52
2023-04,30
2023-05,17
2023-06,14
2023-07,33
2023-08,17
2023-09,38
2023-10,19
2023-11,18
2023-12,17
