Category: All categories

Month,big 5 sporting goods: (United States)
2014-01,50
2014-02,50
2014-03,60
2014-04,55
2014-05,58
2014-06,76
2014-07,76
2014-08,76
2014-09,62
2014-10,49
2014-11,62
2014-12,78
2015-01,60
2015-02,56
2015-03,63
2015-04,59
2015-05,58
2015-06,73
2015-07,73
2015-08,70
2015-09,55
2015-10,48
2015-11,55
2015-12,77
2016-01,51
2016-02,46
2016-03,45
2016-04,46
2016-05,43
2016-06,46
2016-07,52
2016-08,52
2016-09,45
2016-10,39
2016-11,40
2016-12,47
2017-01,38
2017-02,39
2017-03,44
2017-04,42
2017-05,39
2017-06,47
2017-07,55
2017-08,77
2017-09,68
2017-10,47
2017-11,36
2017-12,50
2018-01,37
2018-02,44
2018-03,58
2018-04,43
2018-05,38
2018-06,48
2018-07,69
2018-08,52
2018-09,45
2018-10,34
2018-11,47
2018-12,54
2019-01,43
2019-02,55
2019-03,48
2019-04,47
2019-05,53
2019-06,67
2019-07,69
2019-08,73
2019-09,62
2019-10,46
2019-11,52
2019-12,71
2020-01,57
2020-02,57
2020-03,61
2020-04,71
2020-05,85
2020-06,100
2020-07,88
2020-08,70
2020-09,57
2020-10,59
2020-11,60
2020-12,76
2021-01,72
2021-02,58
2021-03,59
2021-04,60
2021-05,57
2021-06,71
2021-07,67
2021-08,69
2021-09,59
2021-10,44
2021-11,49
2021-12,59
2022-01,42
2022-02,46
2022-03,45
2022-04,45
2022-05,44
2022-06,57
2022-07,61
2022-08,64
2022-09,50
2022-10,36
2022-11,34
2022-12,46
2023-01,37
2023-02,38
2023-03,39
2023-04,40
2023-05,38
2023-06,44
2023-07,51
2023-08,44
2023-09,38
2023-10,32
2023-11,33
2023-12,42
