Category: All categories

Month,Booking.com: (United States)
2014-01,37
2014-02,40
2014-03,42
2014-04,42
2014-05,46
2014-06,54
2014-07,64
2014-08,51
2014-09,40
2014-10,36
2014-11,29
2014-12,28
2015-01,34
2015-02,32
2015-03,37
2015-04,38
2015-05,45
2015-06,54
2015-07,58
2015-08,47
2015-09,38
2015-10,34
2015-11,28
2015-12,30
2016-01,29
2016-02,30
2016-03,38
2016-04,41
2016-05,56
2016-06,69
2016-07,75
2016-08,57
2016-09,46
2016-10,40
2016-11,38
2016-12,33
2017-01,42
2017-02,47
2017-03,67
2017-04,82
2017-05,75
2017-06,87
2017-07,100
2017-08,86
2017-09,71
2017-10,61
2017-11,49
2017-12,55
2018-01,66
2018-02,77
2018-03,83
2018-04,79
2018-05,85
2018-06,75
2018-07,77
2018-08,66
2018-09,55
2018-10,58
2018-11,53
2018-12,55
2019-01,70
2019-02,72
2019-03,64
2019-04,64
2019-05,62
2019-06,71
2019-07,69
2019-08,61
2019-09,50
2019-10,41
2019-11,37
2019-12,36
2020-01,48
2020-02,49
2020-03,40
2020-04,16
2020-05,27
2020-06,45
2020-07,45
2020-08,43
2020-09,37
2020-10,31
2020-11,23
2020-12,24
2021-01,30
2021-02,39
2021-03,54
2021-04,54
2021-05,61
2021-06,66
2021-07,67
2021-08,53
2021-09,44
2021-10,36
2021-11,36
2021-12,31
2022-01,39
2022-02,59
2022-03,66
2022-04,60
2022-05,62
2022-06,68
2022-07,75
2022-08,62
2022-09,53
2022-10,50
2022-11,42
2022-12,47
2023-01,53
2023-02,61
2023-03,64
2023-04,58
2023-05,65
2023-06,71
2023-07,76
2023-08,62
2023-09,53
2023-10,46
2023-11,43
2023-12,42
