Category: All categories

Month,bowflex: (United States)
2014-01,56
2014-02,31
2014-03,27
2014-04,26
2014-05,27
2014-06,34
2014-07,34
2014-08,28
2014-09,29
2014-10,27
2014-11,36
2014-12,45
2015-01,57
2015-02,38
2015-03,29
2015-04,31
2015-05,31
2015-06,29
2015-07,35
2015-08,34
2015-09,31
2015-10,29
2015-11,35
2015-12,45
2016-01,60
2016-02,39
2016-03,31
2016-04,28
2016-05,31
2016-06,27
2016-07,27
2016-08,27
2016-09,24
2016-10,24
2016-11,33
2016-12,38
2017-01,54
2017-02,33
2017-03,27
2017-04,25
2017-05,30
2017-06,28
2017-07,28
2017-08,27
2017-09,25
2017-10,26
2017-11,41
2017-12,42
2018-01,51
2018-02,35
2018-03,28
2018-04,27
2018-05,26
2018-06,24
2018-07,26
2018-08,24
2018-09,23
2018-10,20
2018-11,35
2018-12,40
2019-01,53
2019-02,31
2019-03,30
2019-04,24
2019-05,22
2019-06,27
2019-07,23
2019-08,21
2019-09,22
2019-10,21
2019-11,31
2019-12,35
2020-01,41
2020-02,25
2020-03,71
2020-04,100
2020-05,80
2020-06,66
2020-07,74
2020-08,64
2020-09,55
2020-10,50
2020-11,63
2020-12,60
2021-01,68
2021-02,52
2021-03,43
2021-04,33
2021-05,28
2021-06,27
2021-07,27
2021-08,25
2021-09,24
2021-10,22
2021-11,37
2021-12,42
2022-01,50
2022-02,35
2022-03,30
2022-04,25
2022-05,21
2022-06,22
2022-07,24
2022-08,21
2022-09,19
2022-10,19
2022-11,27
2022-12,29
2023-01,33
2023-02,26
2023-03,21
2023-04,22
2023-05,19
2023-06,20
2023-07,21
2023-08,19
2023-09,16
2023-10,18
2023-11,26
2023-12,23
