Category: All categories

Month,Budget: (United States)
2014-01,77
2014-02,77
2014-03,80
2014-04,78
2014-05,80
2014-06,79
2014-07,85
2014-08,75
2014-09,66
2014-10,71
2014-11,69
2014-12,72
2015-01,74
2015-02,82
2015-03,87
2015-04,80
2015-05,78
2015-06,86
2015-07,87
2015-08,77
2015-09,78
2015-10,76
2015-11,74
2015-12,77
2016-01,72
2016-02,85
2016-03,83
2016-04,82
2016-05,89
2016-06,84
2016-07,79
2016-08,67
2016-09,69
2016-10,71
2016-11,68
2016-12,67
2017-01,72
2017-02,85
2017-03,100
2017-04,87
2017-05,94
2017-06,93
2017-07,94
2017-08,78
2017-09,74
2017-10,78
2017-11,72
2017-12,69
2018-01,79
2018-02,87
2018-03,81
2018-04,81
2018-05,80
2018-06,81
2018-07,78
2018-08,74
2018-09,68
2018-10,70
2018-11,70
2018-12,66
2019-01,77
2019-02,78
2019-03,82
2019-04,79
2019-05,76
2019-06,79
2019-07,80
2019-08,74
2019-09,75
2019-10,68
2019-11,71
2019-12,72
2020-01,78
2020-02,85
2020-03,65
2020-04,61
2020-05,70
2020-06,81
2020-07,74
2020-08,70
2020-09,66
2020-10,66
2020-11,56
2020-12,61
2021-01,63
2021-02,66
2021-03,72
2021-04,73
2021-05,71
2021-06,74
2021-07,73
2021-08,65
2021-09,65
2021-10,66
2021-11,65
2021-12,60
2022-01,70
2022-02,74
2022-03,85
2022-04,82
2022-05,81
2022-06,78
2022-07,75
2022-08,75
2022-09,72
2022-10,72
2022-11,69
2022-12,70
2023-01,74
2023-02,76
2023-03,79
2023-04,77
2023-05,81
2023-06,78
2023-07,80
2023-08,74
2023-09,78
2023-10,74
2023-11,77
2023-12,74
