Category: All categories

Month,california vacation: (United States)
2014-01,95
2014-02,85
2014-03,91
2014-04,74
2014-05,90
2014-06,100
2014-07,98
2014-08,71
2014-09,58
2014-10,57
2014-11,52
2014-12,58
2015-01,81
2015-02,82
2015-03,89
2015-04,75
2015-05,73
2015-06,96
2015-07,88
2015-08,74
2015-09,55
2015-10,54
2015-11,51
2015-12,58
2016-01,79
2016-02,86
2016-03,86
2016-04,77
2016-05,84
2016-06,97
2016-07,88
2016-08,65
2016-09,53
2016-10,54
2016-11,54
2016-12,63
2017-01,88
2017-02,84
2017-03,84
2017-04,80
2017-05,78
2017-06,93
2017-07,88
2017-08,65
2017-09,56
2017-10,57
2017-11,54
2017-12,61
2018-01,84
2018-02,81
2018-03,80
2018-04,73
2018-05,73
2018-06,85
2018-07,87
2018-08,64
2018-09,52
2018-10,52
2018-11,55
2018-12,53
2019-01,71
2019-02,71
2019-03,73
2019-04,67
2019-05,68
2019-06,80
2019-07,80
2019-08,54
2019-09,50
2019-10,45
2019-11,45
2019-12,51
2020-01,68
2020-02,62
2020-03,41
2020-04,29
2020-05,50
2020-06,77
2020-07,68
2020-08,59
2020-09,47
2020-10,43
2020-11,34
2020-12,35
2021-01,43
2021-02,52
2021-03,66
2021-04,67
2021-05,76
2021-06,83
2021-07,70
2021-08,55
2021-09,49
2021-10,44
2021-11,48
2021-12,48
2022-01,71
2022-02,71
2022-03,64
2022-04,64
2022-05,64
2022-06,68
2022-07,66
2022-08,54
2022-09,44
2022-10,42
2022-11,42
2022-12,50
2023-01,58
2023-02,54
2023-03,55
2023-04,48
2023-05,53
2023-06,58
2023-07,55
2023-08,44
2023-09,33
2023-10,37
2023-11,39
2023-12,45
