Category: All categories

Month,car rental: (United States)
2014-01,60
2014-02,63
2014-03,71
2014-04,69
2014-05,74
2014-06,80
2014-07,87
2014-08,71
2014-09,59
2014-10,59
2014-11,55
2014-12,57
2015-01,60
2015-02,65
2015-03,72
2015-04,64
2015-05,74
2015-06,89
2015-07,89
2015-08,76
2015-09,64
2015-10,61
2015-11,56
2015-12,58
2016-01,60
2016-02,68
2016-03,75
2016-04,75
2016-05,83
2016-06,84
2016-07,84
2016-08,77
2016-09,67
2016-10,65
2016-11,58
2016-12,63
2017-01,63
2017-02,70
2017-03,77
2017-04,74
2017-05,85
2017-06,95
2017-07,96
2017-08,81
2017-09,71
2017-10,68
2017-11,62
2017-12,60
2018-01,61
2018-02,70
2018-03,78
2018-04,74
2018-05,80
2018-06,90
2018-07,97
2018-08,79
2018-09,63
2018-10,63
2018-11,60
2018-12,61
2019-01,63
2019-02,71
2019-03,83
2019-04,75
2019-05,84
2019-06,91
2019-07,94
2019-08,84
2019-09,75
2019-10,72
2019-11,68
2019-12,73
2020-01,76
2020-02,76
2020-03,51
2020-04,28
2020-05,49
2020-06,71
2020-07,64
2020-08,58
2020-09,58
2020-10,59
2020-11,49
2020-12,50
2021-01,51
2021-02,63
2021-03,85
2021-04,93
2021-05,100
2021-06,94
2021-07,94
2021-08,76
2021-09,72
2021-10,72
2021-11,69
2021-12,60
2022-01,62
2022-02,73
2022-03,80
2022-04,75
2022-05,76
2022-06,83
2022-07,80
2022-08,77
2022-09,69
2022-10,63
2022-11,64
2022-12,62
2023-01,60
2023-02,64
2023-03,67
2023-04,67
2023-05,70
2023-06,77
2023-07,81
2023-08,71
2023-09,60
2023-10,57
2023-11,57
2023-12,53
