Category: All categories

Month,carnival cruise lines: (United States)
2014-01,94
2014-02,76
2014-03,69
2014-04,61
2014-05,59
2014-06,61
2014-07,60
2014-08,52
2014-09,54
2014-10,50
2014-11,48
2014-12,46
2015-01,76
2015-02,76
2015-03,67
2015-04,61
2015-05,58
2015-06,71
2015-07,74
2015-08,68
2015-09,65
2015-10,54
2015-11,49
2015-12,53
2016-01,65
2016-02,63
2016-03,57
2016-04,48
2016-05,49
2016-06,51
2016-07,54
2016-08,54
2016-09,39
2016-10,40
2016-11,39
2016-12,55
2017-01,74
2017-02,60
2017-03,55
2017-04,49
2017-05,56
2017-06,61
2017-07,55
2017-08,52
2017-09,48
2017-10,39
2017-11,39
2017-12,35
2018-01,56
2018-02,53
2018-03,48
2018-04,43
2018-05,47
2018-06,42
2018-07,49
2018-08,43
2018-09,37
2018-10,40
2018-11,36
2018-12,39
2019-01,54
2019-02,43
2019-03,36
2019-04,41
2019-05,38
2019-06,40
2019-07,36
2019-08,34
2019-09,36
2019-10,30
2019-11,28
2019-12,36
2020-01,49
2020-02,38
2020-03,100
2020-04,48
2020-05,33
2020-06,28
2020-07,20
2020-08,16
2020-09,20
2020-10,15
2020-11,15
2020-12,15
2021-01,16
2021-02,22
2021-03,22
2021-04,24
2021-05,28
2021-06,35
2021-07,31
2021-08,27
2021-09,26
2021-10,23
2021-11,26
2021-12,25
2022-01,31
2022-02,34
2022-03,41
2022-04,42
2022-05,38
2022-06,42
2022-07,54
2022-08,47
2022-09,36
2022-10,34
2022-11,35
2022-12,34
2023-01,55
2023-02,50
2023-03,46
2023-04,40
2023-05,36
2023-06,37
2023-07,39
2023-08,33
2023-09,28
2023-10,26
2023-11,25
2023-12,29
