Category: All categories

Month,carnival cruise tickets: (United States)
2014-01,100
2014-02,63
2014-03,63
2014-04,49
2014-05,44
2014-06,54
2014-07,58
2014-08,55
2014-09,36
2014-10,41
2014-11,48
2014-12,48
2015-01,71
2015-02,83
2015-03,76
2015-04,49
2015-05,47
2015-06,41
2015-07,51
2015-08,50
2015-09,42
2015-10,33
2015-11,37
2015-12,53
2016-01,65
2016-02,41
2016-03,43
2016-04,53
2016-05,46
2016-06,32
2016-07,36
2016-08,29
2016-09,36
2016-10,31
2016-11,22
2016-12,30
2017-01,55
2017-02,77
2017-03,59
2017-04,37
2017-05,31
2017-06,42
2017-07,53
2017-08,47
2017-09,34
2017-10,32
2017-11,41
2017-12,32
2018-01,44
2018-02,38
2018-03,46
2018-04,38
2018-05,38
2018-06,39
2018-07,39
2018-08,41
2018-09,31
2018-10,31
2018-11,33
2018-12,52
2019-01,42
2019-02,47
2019-03,47
2019-04,36
2019-05,43
2019-06,47
2019-07,36
2019-08,30
2019-09,45
2019-10,24
2019-11,31
2019-12,40
2020-01,57
2020-02,44
2020-03,35
2020-04,12
2020-05,16
2020-06,11
2020-07,4
2020-08,4
2020-09,9
2020-10,7
2020-11,2
2020-12,5
2021-01,6
2021-02,10
2021-03,9
2021-04,14
2021-05,13
2021-06,17
2021-07,19
2021-08,15
2021-09,21
2021-10,23
2021-11,23
2021-12,20
2022-01,19
2022-02,33
2022-03,34
2022-04,35
2022-05,36
2022-06,37
2022-07,34
2022-08,43
2022-09,36
2022-10,34
2022-11,45
2022-12,43
2023-01,49
2023-02,52
2023-03,34
2023-04,39
2023-05,48
2023-06,52
2023-07,35
2023-08,35
2023-09,34
2023-10,27
2023-11,32
2023-12,34
