Category: All categories

Month,Carnival Cruises: (United States)
2014-01,37
2014-02,29
2014-03,30
2014-04,24
2014-05,26
2014-06,30
2014-07,30
2014-08,26
2014-09,24
2014-10,21
2014-11,22
2014-12,25
2015-01,37
2015-02,36
2015-03,34
2015-04,27
2015-05,32
2015-06,34
2015-07,35
2015-08,28
2015-09,26
2015-10,25
2015-11,23
2015-12,28
2016-01,37
2016-02,31
2016-03,29
2016-04,27
2016-05,29
2016-06,66
2016-07,58
2016-08,27
2016-09,23
2016-10,22
2016-11,49
2016-12,41
2017-01,43
2017-02,30
2017-03,33
2017-04,42
2017-05,86
2017-06,37
2017-07,31
2017-08,27
2017-09,32
2017-10,37
2017-11,20
2017-12,26
2018-01,95
2018-02,77
2018-03,38
2018-04,51
2018-05,29
2018-06,37
2018-07,36
2018-08,29
2018-09,25
2018-10,25
2018-11,23
2018-12,26
2019-01,100
2019-02,70
2019-03,61
2019-04,27
2019-05,27
2019-06,30
2019-07,26
2019-08,23
2019-09,22
2019-10,21
2019-11,21
2019-12,24
2020-01,34
2020-02,25
2020-03,35
2020-04,13
2020-05,11
2020-06,10
2020-07,8
2020-08,6
2020-09,7
2020-10,6
2020-11,5
2020-12,5
2021-01,8
2021-02,8
2021-03,9
2021-04,9
2021-05,12
2021-06,15
2021-07,14
2021-08,10
2021-09,9
2021-10,12
2021-11,14
2021-12,12
2022-01,16
2022-02,20
2022-03,23
2022-04,21
2022-05,20
2022-06,22
2022-07,22
2022-08,19
2022-09,20
2022-10,20
2022-11,20
2022-12,23
2023-01,38
2023-02,31
2023-03,28
2023-04,24
2023-05,23
2023-06,26
2023-07,25
2023-08,22
2023-09,20
2023-10,17
2023-11,19
2023-12,21
