Category: All categories

Month,cheapest trips: (United States)
2014-01,61
2014-02,45
2014-03,47
2014-04,50
2014-05,34
2014-06,34
2014-07,54
2014-08,48
2014-09,40
2014-10,35
2014-11,42
2014-12,44
2015-01,76
2015-02,53
2015-03,65
2015-04,39
2015-05,53
2015-06,55
2015-07,54
2015-08,61
2015-09,49
2015-10,42
2015-11,40
2015-12,50
2016-01,68
2016-02,69
2016-03,58
2016-04,50
2016-05,46
2016-06,57
2016-07,48
2016-08,37
2016-09,50
2016-10,48
2016-11,42
2016-12,67
2017-01,74
2017-02,90
2017-03,81
2017-04,60
2017-05,61
2017-06,75
2017-07,72
2017-08,49
2017-09,44
2017-10,54
2017-11,64
2017-12,76
2018-01,83
2018-02,100
2018-03,70
2018-04,66
2018-05,53
2018-06,77
2018-07,76
2018-08,56
2018-09,47
2018-10,60
2018-11,48
2018-12,58
2019-01,74
2019-02,80
2019-03,74
2019-04,60
2019-05,55
2019-06,74
2019-07,55
2019-08,54
2019-09,41
2019-10,48
2019-11,50
2019-12,67
2020-01,91
2020-02,78
2020-03,38
2020-04,12
2020-05,17
2020-06,29
2020-07,25
2020-08,26
2020-09,21
2020-10,23
2020-11,19
2020-12,22
2021-01,28
2021-02,34
2021-03,45
2021-04,50
2021-05,52
2021-06,50
2021-07,47
2021-08,36
2021-09,32
2021-10,33
2021-11,38
2021-12,42
2022-01,71
2022-02,72
2022-03,68
2022-04,55
2022-05,59
2022-06,68
2022-07,68
2022-08,47
2022-09,42
2022-10,48
2022-11,50
2022-12,61
2023-01,76
2023-02,49
2023-03,61
2023-04,54
2023-05,49
2023-06,53
2023-07,50
2023-08,42
2023-09,39
2023-10,40
2023-11,41
2023-12,53
