Category: All categories

Month,columbia sportswear: (United States)
2014-01,55
2014-02,43
2014-03,37
2014-04,39
2014-05,36
2014-06,36
2014-07,45
2014-08,47
2014-09,49
2014-10,61
2014-11,100
2014-12,86
2015-01,54
2015-02,45
2015-03,33
2015-04,33
2015-05,31
2015-06,37
2015-07,34
2015-08,39
2015-09,42
2015-10,50
2015-11,89
2015-12,87
2016-01,63
2016-02,43
2016-03,36
2016-04,37
2016-05,38
2016-06,42
2016-07,39
2016-08,34
2016-09,39
2016-10,50
2016-11,72
2016-12,72
2017-01,46
2017-02,39
2017-03,37
2017-04,35
2017-05,35
2017-06,39
2017-07,36
2017-08,41
2017-09,40
2017-10,53
2017-11,83
2017-12,89
2018-01,56
2018-02,41
2018-03,36
2018-04,30
2018-05,30
2018-06,28
2018-07,36
2018-08,33
2018-09,35
2018-10,37
2018-11,56
2018-12,51
2019-01,38
2019-02,35
2019-03,29
2019-04,26
2019-05,24
2019-06,28
2019-07,27
2019-08,30
2019-09,30
2019-10,36
2019-11,52
2019-12,48
2020-01,31
2020-02,25
2020-03,18
2020-04,17
2020-05,21
2020-06,25
2020-07,22
2020-08,23
2020-09,23
2020-10,28
2020-11,33
2020-12,36
2021-01,22
2021-02,24
2021-03,19
2021-04,19
2021-05,19
2021-06,22
2021-07,20
2021-08,18
2021-09,24
2021-10,30
2021-11,46
2021-12,38
2022-01,34
2022-02,27
2022-03,23
2022-04,23
2022-05,25
2022-06,26
2022-07,24
2022-08,26
2022-09,26
2022-10,32
2022-11,48
2022-12,42
2023-01,28
2023-02,24
2023-03,23
2023-04,21
2023-05,21
2023-06,22
2023-07,25
2023-08,28
2023-09,25
2023-10,26
2023-11,38
2023-12,34
