Category: All categories

Month,Connexa Sports Technologies Inc: (United States)
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,12
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,6
2016-07,0
2016-08,0
2016-09,0
2016-10,3
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,8
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,7
2017-11,3
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,4
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,5
2020-03,7
2020-04,9
2020-05,13
2020-06,30
2020-07,49
2020-08,71
2020-09,50
2020-10,67
2020-11,54
2020-12,56
2021-01,42
2021-02,71
2021-03,64
2021-04,100
2021-05,85
2021-06,73
2021-07,57
2021-08,75
2021-09,77
2021-10,78
2021-11,84
2021-12,67
2022-01,61
2022-02,74
2022-03,73
2022-04,53
2022-05,58
2022-06,8
2022-07,0
2022-08,17
2022-09,0
2022-10,5
2022-11,6
2022-12,6
2023-01,4
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,9
2023-07,5
2023-08,0
2023-09,14
2023-10,6
2023-11,0
2023-12,7
