Category: All categories

Month,cruises: (United States)
2014-01,86
2014-02,69
2014-03,70
2014-04,62
2014-05,65
2014-06,74
2014-07,78
2014-08,68
2014-09,57
2014-10,51
2014-11,49
2014-12,51
2015-01,87
2015-02,79
2015-03,68
2015-04,59
2015-05,65
2015-06,71
2015-07,78
2015-08,68
2015-09,58
2015-10,56
2015-11,49
2015-12,50
2016-01,75
2016-02,68
2016-03,61
2016-04,59
2016-05,63
2016-06,70
2016-07,76
2016-08,64
2016-09,55
2016-10,51
2016-11,55
2016-12,53
2017-01,83
2017-02,70
2017-03,79
2017-04,64
2017-05,76
2017-06,78
2017-07,81
2017-08,67
2017-09,57
2017-10,58
2017-11,53
2017-12,52
2018-01,88
2018-02,80
2018-03,77
2018-04,65
2018-05,65
2018-06,76
2018-07,85
2018-08,70
2018-09,62
2018-10,57
2018-11,53
2018-12,59
2019-01,100
2019-02,90
2019-03,81
2019-04,60
2019-05,67
2019-06,74
2019-07,81
2019-08,69
2019-09,59
2019-10,58
2019-11,52
2019-12,60
2020-01,92
2020-02,74
2020-03,56
2020-04,22
2020-05,22
2020-06,25
2020-07,22
2020-08,21
2020-09,21
2020-10,18
2020-11,16
2020-12,18
2021-01,23
2021-02,26
2021-03,30
2021-04,32
2021-05,39
2021-06,46
2021-07,49
2021-08,37
2021-09,36
2021-10,41
2021-11,41
2021-12,39
2022-01,45
2022-02,49
2022-03,56
2022-04,58
2022-05,56
2022-06,65
2022-07,75
2022-08,68
2022-09,58
2022-10,56
2022-11,56
2022-12,57
2023-01,92
2023-02,85
2023-03,81
2023-04,75
2023-05,79
2023-06,83
2023-07,82
2023-08,68
2023-09,63
2023-10,55
2023-11,62
2023-12,63
