Category: All categories

Month,david ricks: (United States)
2014-01,38
2014-02,24
2014-03,25
2014-04,23
2014-05,26
2014-06,44
2014-07,17
2014-08,54
2014-09,53
2014-10,53
2014-11,30
2014-12,43
2015-01,23
2015-02,26
2015-03,24
2015-04,26
2015-05,36
2015-06,42
2015-07,37
2015-08,28
2015-09,11
2015-10,12
2015-11,41
2015-12,22
2016-01,35
2016-02,25
2016-03,21
2016-04,39
2016-05,41
2016-06,42
2016-07,54
2016-08,39
2016-09,24
2016-10,19
2016-11,22
2016-12,25
2017-01,34
2017-02,49
2017-03,62
2017-04,40
2017-05,16
2017-06,24
2017-07,18
2017-08,32
2017-09,34
2017-10,48
2017-11,38
2017-12,26
2018-01,70
2018-02,40
2018-03,32
2018-04,26
2018-05,46
2018-06,26
2018-07,46
2018-08,29
2018-09,11
2018-10,36
2018-11,45
2018-12,35
2019-01,30
2019-02,48
2019-03,30
2019-04,30
2019-05,30
2019-06,42
2019-07,32
2019-08,46
2019-09,26
2019-10,34
2019-11,22
2019-12,34
2020-01,35
2020-02,19
2020-03,40
2020-04,53
2020-05,100
2020-06,22
2020-07,27
2020-08,16
2020-09,28
2020-10,38
2020-11,66
2020-12,50
2021-01,11
2021-02,32
2021-03,35
2021-04,43
2021-05,34
2021-06,37
2021-07,22
2021-08,42
2021-09,31
2021-10,20
2021-11,12
2021-12,30
2022-01,13
2022-02,29
2022-03,25
2022-04,41
2022-05,34
2022-06,24
2022-07,22
2022-08,39
2022-09,20
2022-10,31
2022-11,65
2022-12,19
2023-01,26
2023-02,25
2023-03,45
2023-04,38
2023-05,56
2023-06,43
2023-07,42
2023-08,52
2023-09,37
2023-10,43
2023-11,35
2023-12,31
