Category: All categories

Month,delta air lines: (United States)
2014-01,76
2014-02,67
2014-03,72
2014-04,75
2014-05,77
2014-06,87
2014-07,94
2014-08,81
2014-09,92
2014-10,81
2014-11,79
2014-12,71
2015-01,80
2015-02,73
2015-03,86
2015-04,73
2015-05,85
2015-06,91
2015-07,87
2015-08,90
2015-09,75
2015-10,88
2015-11,65
2015-12,70
2016-01,78
2016-02,67
2016-03,70
2016-04,72
2016-05,67
2016-06,79
2016-07,80
2016-08,96
2016-09,66
2016-10,77
2016-11,65
2016-12,72
2017-01,75
2017-02,83
2017-03,86
2017-04,85
2017-05,96
2017-06,80
2017-07,91
2017-08,96
2017-09,92
2017-10,77
2017-11,73
2017-12,83
2018-01,89
2018-02,97
2018-03,92
2018-04,93
2018-05,93
2018-06,89
2018-07,100
2018-08,91
2018-09,100
2018-10,80
2018-11,73
2018-12,74
2019-01,79
2019-02,75
2019-03,79
2019-04,78
2019-05,82
2019-06,80
2019-07,81
2019-08,82
2019-09,79
2019-10,69
2019-11,68
2019-12,64
2020-01,76
2020-02,75
2020-03,89
2020-04,47
2020-05,53
2020-06,50
2020-07,46
2020-08,47
2020-09,45
2020-10,48
2020-11,45
2020-12,44
2021-01,44
2021-02,47
2021-03,56
2021-04,68
2021-05,68
2021-06,69
2021-07,71
2021-08,76
2021-09,64
2021-10,65
2021-11,59
2021-12,67
2022-01,63
2022-02,73
2022-03,70
2022-04,75
2022-05,70
2022-06,77
2022-07,73
2022-08,67
2022-09,59
2022-10,59
2022-11,60
2022-12,74
2023-01,81
2023-02,70
2023-03,82
2023-04,74
2023-05,80
2023-06,84
2023-07,80
2023-08,80
2023-09,71
2023-10,66
2023-11,62
2023-12,64
