Category: All categories

Month,delta airlines: (United States)
2014-01,93
2014-02,87
2014-03,81
2014-04,79
2014-05,84
2014-06,89
2014-07,89
2014-08,78
2014-09,74
2014-10,71
2014-11,67
2014-12,64
2015-01,76
2015-02,81
2015-03,84
2015-04,82
2015-05,86
2015-06,91
2015-07,92
2015-08,91
2015-09,84
2015-10,77
2015-11,73
2015-12,72
2016-01,71
2016-02,64
2016-03,71
2016-04,67
2016-05,69
2016-06,71
2016-07,67
2016-08,76
2016-09,59
2016-10,57
2016-11,72
2016-12,58
2017-01,68
2017-02,65
2017-03,70
2017-04,100
2017-05,79
2017-06,80
2017-07,89
2017-08,77
2017-09,66
2017-10,67
2017-11,72
2017-12,66
2018-01,82
2018-02,81
2018-03,88
2018-04,78
2018-05,73
2018-06,92
2018-07,90
2018-08,87
2018-09,78
2018-10,74
2018-11,70
2018-12,66
2019-01,85
2019-02,85
2019-03,91
2019-04,86
2019-05,83
2019-06,98
2019-07,91
2019-08,86
2019-09,78
2019-10,73
2019-11,69
2019-12,73
2020-01,87
2020-02,80
2020-03,92
2020-04,41
2020-05,40
2020-06,47
2020-07,32
2020-08,31
2020-09,36
2020-10,39
2020-11,32
2020-12,33
2021-01,34
2021-02,43
2021-03,58
2021-04,65
2021-05,70
2021-06,81
2021-07,86
2021-08,72
2021-09,67
2021-10,71
2021-11,65
2021-12,65
2022-01,78
2022-02,88
2022-03,91
2022-04,91
2022-05,91
2022-06,91
2022-07,87
2022-08,82
2022-09,75
2022-10,76
2022-11,77
2022-12,79
2023-01,95
2023-02,86
2023-03,86
2023-04,78
2023-05,80
2023-06,84
2023-07,86
2023-08,75
2023-09,76
2023-10,67
2023-11,61
2023-12,64
