Category: All categories

Month,diving trip: (United States)
2014-01,87
2014-02,57
2014-03,85
2014-04,77
2014-05,70
2014-06,71
2014-07,79
2014-08,91
2014-09,71
2014-10,68
2014-11,44
2014-12,86
2015-01,87
2015-02,54
2015-03,76
2015-04,93
2015-05,72
2015-06,76
2015-07,97
2015-08,67
2015-09,64
2015-10,39
2015-11,74
2015-12,75
2016-01,77
2016-02,80
2016-03,91
2016-04,34
2016-05,66
2016-06,100
2016-07,64
2016-08,87
2016-09,82
2016-10,64
2016-11,38
2016-12,63
2017-01,86
2017-02,83
2017-03,71
2017-04,86
2017-05,79
2017-06,54
2017-07,68
2017-08,59
2017-09,42
2017-10,64
2017-11,75
2017-12,60
2018-01,79
2018-02,53
2018-03,68
2018-04,68
2018-05,60
2018-06,71
2018-07,92
2018-08,88
2018-09,42
2018-10,47
2018-11,58
2018-12,55
2019-01,69
2019-02,68
2019-03,76
2019-04,69
2019-05,82
2019-06,70
2019-07,81
2019-08,61
2019-09,59
2019-10,52
2019-11,41
2019-12,58
2020-01,68
2020-02,54
2020-03,45
2020-04,25
2020-05,45
2020-06,49
2020-07,33
2020-08,31
2020-09,33
2020-10,42
2020-11,31
2020-12,37
2021-01,45
2021-02,52
2021-03,45
2021-04,62
2021-05,56
2021-06,53
2021-07,55
2021-08,52
2021-09,62
2021-10,34
2021-11,46
2021-12,42
2022-01,64
2022-02,49
2022-03,58
2022-04,59
2022-05,79
2022-06,100
2022-07,85
2022-08,60
2022-09,57
2022-10,47
2022-11,59
2022-12,51
2023-01,59
2023-02,72
2023-03,64
2023-04,52
2023-05,70
2023-06,73
2023-07,71
2023-08,56
2023-09,59
2023-10,60
2023-11,68
2023-12,60
