Category: All categories

Month,Enterprise: (United States)
2014-01,79
2014-02,80
2014-03,80
2014-04,87
2014-05,90
2014-06,89
2014-07,89
2014-08,85
2014-09,77
2014-10,79
2014-11,70
2014-12,72
2015-01,72
2015-02,81
2015-03,84
2015-04,84
2015-05,88
2015-06,94
2015-07,100
2015-08,90
2015-09,82
2015-10,80
2015-11,73
2015-12,75
2016-01,74
2016-02,80
2016-03,85
2016-04,84
2016-05,91
2016-06,97
2016-07,95
2016-08,93
2016-09,80
2016-10,76
2016-11,75
2016-12,76
2017-01,73
2017-02,80
2017-03,87
2017-04,83
2017-05,91
2017-06,96
2017-07,95
2017-08,88
2017-09,80
2017-10,78
2017-11,72
2017-12,67
2018-01,75
2018-02,79
2018-03,84
2018-04,81
2018-05,90
2018-06,93
2018-07,100
2018-08,89
2018-09,81
2018-10,78
2018-11,77
2018-12,76
2019-01,75
2019-02,86
2019-03,89
2019-04,86
2019-05,92
2019-06,95
2019-07,100
2019-08,91
2019-09,80
2019-10,80
2019-11,75
2019-12,73
2020-01,77
2020-02,79
2020-03,64
2020-04,47
2020-05,68
2020-06,84
2020-07,83
2020-08,78
2020-09,75
2020-10,70
2020-11,58
2020-12,59
2021-01,61
2021-02,65
2021-03,85
2021-04,83
2021-05,80
2021-06,85
2021-07,81
2021-08,69
2021-09,69
2021-10,64
2021-11,63
2021-12,61
2022-01,60
2022-02,67
2022-03,73
2022-04,67
2022-05,70
2022-06,72
2022-07,73
2022-08,67
2022-09,64
2022-10,63
2022-11,59
2022-12,60
2023-01,59
2023-02,63
2023-03,68
2023-04,64
2023-05,66
2023-06,70
2023-07,69
2023-08,65
2023-09,63
2023-10,64
2023-11,61
2023-12,55
