Category: All categories

Month,escalade sports: (United States)
2014-01,62
2014-02,65
2014-03,68
2014-04,61
2014-05,79
2014-06,99
2014-07,77
2014-08,82
2014-09,81
2014-10,55
2014-11,72
2014-12,81
2015-01,73
2015-02,71
2015-03,78
2015-04,90
2015-05,49
2015-06,76
2015-07,81
2015-08,84
2015-09,55
2015-10,53
2015-11,61
2015-12,73
2016-01,69
2016-02,63
2016-03,59
2016-04,43
2016-05,63
2016-06,60
2016-07,79
2016-08,42
2016-09,45
2016-10,45
2016-11,63
2016-12,67
2017-01,69
2017-02,55
2017-03,58
2017-04,76
2017-05,64
2017-06,47
2017-07,53
2017-08,77
2017-09,49
2017-10,49
2017-11,52
2017-12,72
2018-01,51
2018-02,57
2018-03,43
2018-04,50
2018-05,61
2018-06,61
2018-07,46
2018-08,60
2018-09,53
2018-10,46
2018-11,64
2018-12,89
2019-01,57
2019-02,45
2019-03,49
2019-04,60
2019-05,68
2019-06,62
2019-07,60
2019-08,43
2019-09,50
2019-10,55
2019-11,51
2019-12,76
2020-01,56
2020-02,58
2020-03,50
2020-04,90
2020-05,85
2020-06,83
2020-07,68
2020-08,88
2020-09,74
2020-10,70
2020-11,71
2020-12,66
2021-01,80
2021-02,61
2021-03,53
2021-04,84
2021-05,60
2021-06,62
2021-07,100
2021-08,56
2021-09,47
2021-10,57
2021-11,66
2021-12,56
2022-01,80
2022-02,65
2022-03,77
2022-04,74
2022-05,78
2022-06,60
2022-07,53
2022-08,59
2022-09,66
2022-10,64
2022-11,70
2022-12,67
2023-01,76
2023-02,70
2023-03,73
2023-04,56
2023-05,71
2023-06,65
2023-07,62
2023-08,64
2023-09,66
2023-10,55
2023-11,76
2023-12,73
