Category: All categories

Month,Expedia: (United States)
2014-01,93
2014-02,89
2014-03,87
2014-04,83
2014-05,90
2014-06,92
2014-07,97
2014-08,85
2014-09,79
2014-10,69
2014-11,68
2014-12,66
2015-01,89
2015-02,90
2015-03,91
2015-04,85
2015-05,88
2015-06,98
2015-07,100
2015-08,94
2015-09,81
2015-10,76
2015-11,70
2015-12,74
2016-01,74
2016-02,83
2016-03,79
2016-04,69
2016-05,78
2016-06,80
2016-07,85
2016-08,74
2016-09,62
2016-10,56
2016-11,61
2016-12,59
2017-01,72
2017-02,76
2017-03,81
2017-04,75
2017-05,74
2017-06,79
2017-07,81
2017-08,77
2017-09,61
2017-10,63
2017-11,60
2017-12,58
2018-01,73
2018-02,76
2018-03,75
2018-04,70
2018-05,66
2018-06,77
2018-07,76
2018-08,67
2018-09,59
2018-10,58
2018-11,56
2018-12,53
2019-01,71
2019-02,70
2019-03,76
2019-04,65
2019-05,71
2019-06,76
2019-07,70
2019-08,63
2019-09,58
2019-10,55
2019-11,53
2019-12,53
2020-01,68
2020-02,66
2020-03,52
2020-04,19
2020-05,25
2020-06,35
2020-07,29
2020-08,32
2020-09,32
2020-10,32
2020-11,26
2020-12,26
2021-01,32
2021-02,39
2021-03,55
2021-04,53
2021-05,56
2021-06,65
2021-07,57
2021-08,42
2021-09,41
2021-10,41
2021-11,40
2021-12,36
2022-01,47
2022-02,59
2022-03,61
2022-04,55
2022-05,52
2022-06,58
2022-07,54
2022-08,49
2022-09,44
2022-10,44
2022-11,42
2022-12,44
2023-01,55
2023-02,56
2023-03,55
2023-04,51
2023-05,52
2023-06,56
2023-07,52
2023-08,45
2023-09,41
2023-10,38
2023-11,39
2023-12,37
