Category: All categories

Month,fishing trip: (United States)
2014-01,24
2014-02,29
2014-03,31
2014-04,32
2014-05,41
2014-06,55
2014-07,45
2014-08,41
2014-09,28
2014-10,20
2014-11,21
2014-12,22
2015-01,26
2015-02,25
2015-03,34
2015-04,34
2015-05,41
2015-06,52
2015-07,64
2015-08,48
2015-09,28
2015-10,24
2015-11,20
2015-12,20
2016-01,28
2016-02,29
2016-03,36
2016-04,40
2016-05,46
2016-06,53
2016-07,49
2016-08,39
2016-09,29
2016-10,24
2016-11,23
2016-12,25
2017-01,33
2017-02,31
2017-03,37
2017-04,37
2017-05,40
2017-06,51
2017-07,52
2017-08,41
2017-09,25
2017-10,24
2017-11,23
2017-12,26
2018-01,30
2018-02,29
2018-03,34
2018-04,35
2018-05,43
2018-06,54
2018-07,57
2018-08,43
2018-09,29
2018-10,25
2018-11,22
2018-12,26
2019-01,28
2019-02,30
2019-03,32
2019-04,33
2019-05,41
2019-06,49
2019-07,48
2019-08,43
2019-09,30
2019-10,24
2019-11,24
2019-12,26
2020-01,29
2020-02,31
2020-03,20
2020-04,21
2020-05,32
2020-06,51
2020-07,100
2020-08,35
2020-09,33
2020-10,24
2020-11,20
2020-12,21
2021-01,24
2021-02,25
2021-03,33
2021-04,36
2021-05,43
2021-06,51
2021-07,46
2021-08,39
2021-09,33
2021-10,24
2021-11,22
2021-12,23
2022-01,30
2022-02,31
2022-03,35
2022-04,36
2022-05,45
2022-06,50
2022-07,52
2022-08,40
2022-09,30
2022-10,26
2022-11,20
2022-12,25
2023-01,28
2023-02,29
2023-03,32
2023-04,33
2023-05,40
2023-06,57
2023-07,53
2023-08,40
2023-09,32
2023-10,27
2023-11,24
2023-12,29
