Category: All categories

Month,flights: (United States)
2014-01,37
2014-02,39
2014-03,36
2014-04,31
2014-05,37
2014-06,41
2014-07,39
2014-08,35
2014-09,34
2014-10,33
2014-11,32
2014-12,33
2015-01,42
2015-02,41
2015-03,44
2015-04,39
2015-05,42
2015-06,48
2015-07,49
2015-08,45
2015-09,46
2015-10,45
2015-11,42
2015-12,42
2016-01,53
2016-02,62
2016-03,59
2016-04,51
2016-05,62
2016-06,60
2016-07,69
2016-08,56
2016-09,49
2016-10,56
2016-11,57
2016-12,57
2017-01,70
2017-02,62
2017-03,74
2017-04,72
2017-05,71
2017-06,78
2017-07,69
2017-08,68
2017-09,67
2017-10,63
2017-11,63
2017-12,58
2018-01,74
2018-02,72
2018-03,72
2018-04,67
2018-05,67
2018-06,80
2018-07,87
2018-08,83
2018-09,74
2018-10,72
2018-11,76
2018-12,71
2019-01,89
2019-02,89
2019-03,90
2019-04,81
2019-05,85
2019-06,92
2019-07,91
2019-08,81
2019-09,82
2019-10,81
2019-11,80
2019-12,86
2020-01,100
2020-02,91
2020-03,98
2020-04,33
2020-05,43
2020-06,54
2020-07,44
2020-08,42
2020-09,44
2020-10,45
2020-11,42
2020-12,41
2021-01,47
2021-02,56
2021-03,69
2021-04,71
2021-05,75
2021-06,83
2021-07,80
2021-08,67
2021-09,64
2021-10,75
2021-11,72
2021-12,68
2022-01,76
2022-02,86
2022-03,95
2022-04,89
2022-05,86
2022-06,96
2022-07,84
2022-08,82
2022-09,72
2022-10,78
2022-11,75
2022-12,83
2023-01,100
2023-02,96
2023-03,92
2023-04,87
2023-05,92
2023-06,94
2023-07,93
2023-08,82
2023-09,75
2023-10,73
2023-11,78
2023-12,75
