Category: All categories

Month,food near me: (United States)
2014-01,3
2014-02,3
2014-03,3
2014-04,3
2014-05,4
2014-06,4
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,5
2014-12,5
2015-01,5
2015-02,5
2015-03,6
2015-04,6
2015-05,8
2015-06,9
2015-07,10
2015-08,10
2015-09,8
2015-10,9
2015-11,10
2015-12,11
2016-01,12
2016-02,13
2016-03,16
2016-04,17
2016-05,18
2016-06,20
2016-07,23
2016-08,21
2016-09,22
2016-10,25
2016-11,22
2016-12,24
2017-01,21
2017-02,22
2017-03,25
2017-04,29
2017-05,28
2017-06,35
2017-07,38
2017-08,35
2017-09,34
2017-10,33
2017-11,32
2017-12,36
2018-01,32
2018-02,35
2018-03,40
2018-04,40
2018-05,39
2018-06,47
2018-07,54
2018-08,50
2018-09,47
2018-10,46
2018-11,45
2018-12,50
2019-01,45
2019-02,49
2019-03,54
2019-04,55
2019-05,60
2019-06,72
2019-07,69
2019-08,68
2019-09,60
2019-10,59
2019-11,59
2019-12,64
2020-01,56
2020-02,59
2020-03,47
2020-04,48
2020-05,57
2020-06,69
2020-07,72
2020-08,72
2020-09,65
2020-10,70
2020-11,66
2020-12,69
2021-01,70
2021-02,69
2021-03,79
2021-04,83
2021-05,87
2021-06,95
2021-07,100
2021-08,90
2021-09,89
2021-10,82
2021-11,78
2021-12,81
2022-01,66
2022-02,69
2022-03,73
2022-04,75
2022-05,74
2022-06,80
2022-07,86
2022-08,75
2022-09,71
2022-10,67
2022-11,65
2022-12,68
2023-01,63
2023-02,67
2023-03,70
2023-04,71
2023-05,73
2023-06,81
2023-07,84
2023-08,69
2023-09,66
2023-10,64
2023-11,61
2023-12,68
