Category: All categories

Month,frontier airlines: (United States)
2014-01,61
2014-02,57
2014-03,55
2014-04,55
2014-05,74
2014-06,71
2014-07,73
2014-08,70
2014-09,79
2014-10,68
2014-11,64
2014-12,67
2015-01,78
2015-02,78
2015-03,80
2015-04,74
2015-05,79
2015-06,90
2015-07,86
2015-08,83
2015-09,100
2015-10,85
2015-11,78
2015-12,78
2016-01,74
2016-02,62
2016-03,62
2016-04,55
2016-05,55
2016-06,50
2016-07,50
2016-08,50
2016-09,46
2016-10,42
2016-11,41
2016-12,44
2017-01,51
2017-02,55
2017-03,55
2017-04,48
2017-05,54
2017-06,60
2017-07,69
2017-08,61
2017-09,56
2017-10,61
2017-11,70
2017-12,59
2018-01,74
2018-02,71
2018-03,72
2018-04,68
2018-05,65
2018-06,73
2018-07,81
2018-08,76
2018-09,65
2018-10,60
2018-11,65
2018-12,59
2019-01,81
2019-02,81
2019-03,79
2019-04,72
2019-05,78
2019-06,84
2019-07,84
2019-08,87
2019-09,74
2019-10,70
2019-11,78
2019-12,73
2020-01,80
2020-02,72
2020-03,57
2020-04,16
2020-05,25
2020-06,38
2020-07,25
2020-08,23
2020-09,27
2020-10,28
2020-11,24
2020-12,24
2021-01,28
2021-02,38
2021-03,51
2021-04,48
2021-05,48
2021-06,57
2021-07,56
2021-08,48
2021-09,45
2021-10,49
2021-11,52
2021-12,50
2022-01,62
2022-02,75
2022-03,78
2022-04,73
2022-05,69
2022-06,70
2022-07,68
2022-08,62
2022-09,62
2022-10,60
2022-11,80
2022-12,66
2023-01,73
2023-02,75
2023-03,62
2023-04,51
2023-05,57
2023-06,66
2023-07,67
2023-08,59
2023-09,53
2023-10,55
2023-11,53
2023-12,49
