Category: All categories

Month,getaway: (United States)
2014-01,85
2014-02,80
2014-03,74
2014-04,67
2014-05,69
2014-06,75
2014-07,82
2014-08,77
2014-09,60
2014-10,51
2014-11,48
2014-12,53
2015-01,71
2015-02,71
2015-03,65
2015-04,61
2015-05,66
2015-06,69
2015-07,82
2015-08,72
2015-09,57
2015-10,49
2015-11,45
2015-12,51
2016-01,77
2016-02,76
2016-03,68
2016-04,62
2016-05,73
2016-06,100
2016-07,82
2016-08,72
2016-09,59
2016-10,59
2016-11,55
2016-12,57
2017-01,78
2017-02,72
2017-03,75
2017-04,67
2017-05,68
2017-06,77
2017-07,78
2017-08,70
2017-09,65
2017-10,60
2017-11,78
2017-12,82
2018-01,78
2018-02,80
2018-03,73
2018-04,73
2018-05,71
2018-06,76
2018-07,89
2018-08,77
2018-09,83
2018-10,69
2018-11,70
2018-12,73
2019-01,82
2019-02,76
2019-03,79
2019-04,65
2019-05,72
2019-06,75
2019-07,77
2019-08,76
2019-09,68
2019-10,68
2019-11,67
2019-12,72
2020-01,86
2020-02,88
2020-03,57
2020-04,44
2020-05,73
2020-06,89
2020-07,85
2020-08,91
2020-09,74
2020-10,70
2020-11,60
2020-12,64
2021-01,85
2021-02,76
2021-03,75
2021-04,71
2021-05,82
2021-06,77
2021-07,87
2021-08,80
2021-09,72
2021-10,67
2021-11,69
2021-12,70
2022-01,82
2022-02,86
2022-03,87
2022-04,80
2022-05,81
2022-06,76
2022-07,86
2022-08,82
2022-09,71
2022-10,72
2022-11,72
2022-12,72
2023-01,90
2023-02,80
2023-03,81
2023-04,75
2023-05,84
2023-06,83
2023-07,89
2023-08,81
2023-09,76
2023-10,78
2023-11,74
2023-12,75
