Category: All categories

Month,global business travel group: (United States)
2014-01,50
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,34
2014-09,40
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,67
2015-03,38
2015-04,79
2015-05,34
2015-06,0
2015-07,52
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,61
2016-01,55
2016-02,21
2016-03,32
2016-04,54
2016-05,0
2016-06,57
2016-07,93
2016-08,0
2016-09,51
2016-10,21
2016-11,0
2016-12,0
2017-01,32
2017-02,0
2017-03,23
2017-04,0
2017-05,23
2017-06,30
2017-07,0
2017-08,21
2017-09,58
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,47
2018-05,0
2018-06,29
2018-07,25
2018-08,48
2018-09,0
2018-10,0
2018-11,0
2018-12,86
2019-01,25
2019-02,52
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,28
2019-09,78
2019-10,21
2019-11,0
2019-12,42
2020-01,18
2020-02,35
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,22
2020-08,0
2020-09,57
2020-10,18
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,53
2021-05,0
2021-06,0
2021-07,39
2021-08,29
2021-09,0
2021-10,30
2021-11,0
2021-12,56
2022-01,0
2022-02,42
2022-03,38
2022-04,69
2022-05,50
2022-06,44
2022-07,27
2022-08,60
2022-09,44
2022-10,30
2022-11,47
2022-12,81
2023-01,35
2023-02,95
2023-03,0
2023-04,46
2023-05,24
2023-06,59
2023-07,35
2023-08,30
2023-09,100
2023-10,0
2023-11,51
2023-12,32
