Category: All categories

Month,golf trip: (United States)
2014-01,48
2014-02,36
2014-03,48
2014-04,49
2014-05,41
2014-06,50
2014-07,62
2014-08,53
2014-09,40
2014-10,31
2014-11,32
2014-12,29
2015-01,48
2015-02,37
2015-03,43
2015-04,48
2015-05,48
2015-06,65
2015-07,65
2015-08,52
2015-09,39
2015-10,35
2015-11,29
2015-12,29
2016-01,45
2016-02,52
2016-03,47
2016-04,45
2016-05,48
2016-06,58
2016-07,55
2016-08,41
2016-09,32
2016-10,41
2016-11,30
2016-12,33
2017-01,45
2017-02,50
2017-03,49
2017-04,52
2017-05,40
2017-06,55
2017-07,71
2017-08,55
2017-09,41
2017-10,43
2017-11,30
2017-12,35
2018-01,45
2018-02,50
2018-03,50
2018-04,44
2018-05,46
2018-06,49
2018-07,64
2018-08,55
2018-09,40
2018-10,34
2018-11,37
2018-12,35
2019-01,47
2019-02,49
2019-03,51
2019-04,47
2019-05,50
2019-06,64
2019-07,62
2019-08,52
2019-09,43
2019-10,39
2019-11,43
2019-12,37
2020-01,56
2020-02,59
2020-03,35
2020-04,26
2020-05,41
2020-06,51
2020-07,46
2020-08,55
2020-09,49
2020-10,44
2020-11,35
2020-12,35
2021-01,44
2021-02,55
2021-03,60
2021-04,57
2021-05,62
2021-06,63
2021-07,62
2021-08,51
2021-09,42
2021-10,47
2021-11,41
2021-12,48
2022-01,68
2022-02,71
2022-03,66
2022-04,68
2022-05,63
2022-06,74
2022-07,100
2022-08,69
2022-09,51
2022-10,50
2022-11,48
2022-12,50
2023-01,75
2023-02,79
2023-03,78
2023-04,81
2023-05,88
2023-06,87
2023-07,95
2023-08,77
2023-09,68
2023-10,63
2023-11,64
2023-12,67
