Category: All categories

Month,Hertz: (United States)
2014-01,44
2014-02,49
2014-03,53
2014-04,51
2014-05,58
2014-06,59
2014-07,63
2014-08,55
2014-09,48
2014-10,48
2014-11,43
2014-12,42
2015-01,42
2015-02,47
2015-03,51
2015-04,47
2015-05,53
2015-06,58
2015-07,62
2015-08,55
2015-09,47
2015-10,46
2015-11,41
2015-12,42
2016-01,39
2016-02,43
2016-03,47
2016-04,47
2016-05,53
2016-06,57
2016-07,57
2016-08,49
2016-09,42
2016-10,43
2016-11,40
2016-12,41
2017-01,41
2017-02,43
2017-03,50
2017-04,47
2017-05,50
2017-06,56
2017-07,52
2017-08,52
2017-09,47
2017-10,45
2017-11,40
2017-12,38
2018-01,39
2018-02,44
2018-03,47
2018-04,45
2018-05,49
2018-06,54
2018-07,55
2018-08,49
2018-09,45
2018-10,43
2018-11,43
2018-12,41
2019-01,46
2019-02,42
2019-03,52
2019-04,51
2019-05,59
2019-06,63
2019-07,62
2019-08,55
2019-09,48
2019-10,47
2019-11,43
2019-12,43
2020-01,45
2020-02,48
2020-03,35
2020-04,23
2020-05,71
2020-06,100
2020-07,53
2020-08,48
2020-09,40
2020-10,41
2020-11,33
2020-12,32
2021-01,29
2021-02,34
2021-03,47
2021-04,48
2021-05,51
2021-06,54
2021-07,53
2021-08,40
2021-09,41
2021-10,42
2021-11,39
2021-12,37
2022-01,34
2022-02,42
2022-03,47
2022-04,47
2022-05,44
2022-06,44
2022-07,45
2022-08,41
2022-09,38
2022-10,37
2022-11,34
2022-12,36
2023-01,36
2023-02,39
2023-03,44
2023-04,42
2023-05,45
2023-06,48
2023-07,56
2023-08,44
2023-09,39
2023-10,40
2023-11,37
2023-12,35
