Category: All categories

Month,hockey puck: (United States)
2014-01,79
2014-02,97
2014-03,65
2014-04,74
2014-05,68
2014-06,65
2014-07,38
2014-08,35
2014-09,52
2014-10,71
2014-11,70
2014-12,92
2015-01,87
2015-02,78
2015-03,71
2015-04,72
2015-05,68
2015-06,71
2015-07,38
2015-08,35
2015-09,55
2015-10,82
2015-11,75
2015-12,78
2016-01,85
2016-02,85
2016-03,72
2016-04,75
2016-05,61
2016-06,50
2016-07,31
2016-08,38
2016-09,54
2016-10,71
2016-11,79
2016-12,81
2017-01,72
2017-02,71
2017-03,69
2017-04,85
2017-05,63
2017-06,50
2017-07,33
2017-08,36
2017-09,50
2017-10,74
2017-11,74
2017-12,78
2018-01,68
2018-02,90
2018-03,74
2018-04,87
2018-05,66
2018-06,50
2018-07,45
2018-08,41
2018-09,51
2018-10,71
2018-11,80
2018-12,95
2019-01,75
2019-02,100
2019-03,83
2019-04,72
2019-05,66
2019-06,59
2019-07,34
2019-08,35
2019-09,50
2019-10,67
2019-11,73
2019-12,70
2020-01,70
2020-02,74
2020-03,55
2020-04,49
2020-05,38
2020-06,32
2020-07,31
2020-08,51
2020-09,64
2020-10,51
2020-11,47
2020-12,53
2021-01,57
2021-02,63
2021-03,65
2021-04,46
2021-05,49
2021-06,43
2021-07,32
2021-08,31
2021-09,38
2021-10,50
2021-11,53
2021-12,57
2022-01,68
2022-02,79
2022-03,63
2022-04,59
2022-05,66
2022-06,58
2022-07,31
2022-08,35
2022-09,53
2022-10,63
2022-11,69
2022-12,75
2023-01,81
2023-02,84
2023-03,73
2023-04,64
2023-05,69
2023-06,41
2023-07,33
2023-08,40
2023-09,50
2023-10,71
2023-11,75
2023-12,79
