Category: All categories

Month,hotels: (United States)
2014-01,43
2014-02,49
2014-03,52
2014-04,48
2014-05,53
2014-06,61
2014-07,67
2014-08,54
2014-09,42
2014-10,38
2014-11,33
2014-12,35
2015-01,43
2015-02,45
2015-03,51
2015-04,48
2015-05,51
2015-06,63
2015-07,73
2015-08,57
2015-09,47
2015-10,40
2015-11,35
2015-12,36
2016-01,48
2016-02,53
2016-03,56
2016-04,52
2016-05,59
2016-06,67
2016-07,74
2016-08,60
2016-09,49
2016-10,51
2016-11,42
2016-12,42
2017-01,49
2017-02,54
2017-03,61
2017-04,55
2017-05,60
2017-06,72
2017-07,78
2017-08,61
2017-09,56
2017-10,52
2017-11,41
2017-12,42
2018-01,50
2018-02,55
2018-03,60
2018-04,54
2018-05,56
2018-06,65
2018-07,72
2018-08,60
2018-09,49
2018-10,50
2018-11,40
2018-12,43
2019-01,48
2019-02,54
2019-03,60
2019-04,55
2019-05,60
2019-06,68
2019-07,71
2019-08,59
2019-09,59
2019-10,50
2019-11,47
2019-12,50
2020-01,62
2020-02,62
2020-03,41
2020-04,24
2020-05,38
2020-06,56
2020-07,54
2020-08,55
2020-09,49
2020-10,49
2020-11,38
2020-12,42
2021-01,47
2021-02,57
2021-03,71
2021-04,91
2021-05,94
2021-06,97
2021-07,100
2021-08,81
2021-09,78
2021-10,76
2021-11,71
2021-12,58
2022-01,55
2022-02,62
2022-03,65
2022-04,60
2022-05,60
2022-06,64
2022-07,70
2022-08,62
2022-09,52
2022-10,48
2022-11,41
2022-12,42
2023-01,50
2023-02,50
2023-03,53
2023-04,48
2023-05,53
2023-06,59
2023-07,58
2023-08,48
2023-09,44
2023-10,39
2023-11,36
2023-12,36
