Category: All categories

Month,hunting trip: (United States)
2014-01,51
2014-02,45
2014-03,41
2014-04,34
2014-05,46
2014-06,47
2014-07,47
2014-08,50
2014-09,62
2014-10,52
2014-11,85
2014-12,74
2015-01,55
2015-02,53
2015-03,47
2015-04,32
2015-05,38
2015-06,36
2015-07,48
2015-08,64
2015-09,75
2015-10,72
2015-11,80
2015-12,100
2016-01,66
2016-02,83
2016-03,45
2016-04,46
2016-05,47
2016-06,44
2016-07,47
2016-08,69
2016-09,63
2016-10,86
2016-11,90
2016-12,77
2017-01,66
2017-02,48
2017-03,49
2017-04,41
2017-05,38
2017-06,43
2017-07,51
2017-08,49
2017-09,56
2017-10,81
2017-11,84
2017-12,73
2018-01,53
2018-02,42
2018-03,52
2018-04,46
2018-05,41
2018-06,42
2018-07,54
2018-08,58
2018-09,67
2018-10,85
2018-11,85
2018-12,71
2019-01,52
2019-02,52
2019-03,38
2019-04,33
2019-05,37
2019-06,38
2019-07,42
2019-08,48
2019-09,64
2019-10,76
2019-11,79
2019-12,78
2020-01,59
2020-02,45
2020-03,42
2020-04,42
2020-05,46
2020-06,77
2020-07,60
2020-08,64
2020-09,78
2020-10,86
2020-11,68
2020-12,70
2021-01,50
2021-02,53
2021-03,44
2021-04,40
2021-05,32
2021-06,39
2021-07,47
2021-08,49
2021-09,67
2021-10,83
2021-11,94
2021-12,66
2022-01,73
2022-02,74
2022-03,58
2022-04,50
2022-05,47
2022-06,55
2022-07,62
2022-08,77
2022-09,69
2022-10,79
2022-11,85
2022-12,78
2023-01,69
2023-02,59
2023-03,64
2023-04,46
2023-05,48
2023-06,38
2023-07,49
2023-08,63
2023-09,81
2023-10,85
2023-11,99
2023-12,71
