Category: All categories

Month,ice hockey skates: (United States)
2014-01,99
2014-02,93
2014-03,44
2014-04,27
2014-05,27
2014-06,22
2014-07,29
2014-08,29
2014-09,33
2014-10,39
2014-11,66
2014-12,95
2015-01,100
2015-02,59
2015-03,42
2015-04,26
2015-05,31
2015-06,24
2015-07,21
2015-08,23
2015-09,24
2015-10,34
2015-11,65
2015-12,86
2016-01,80
2016-02,50
2016-03,32
2016-04,31
2016-05,26
2016-06,26
2016-07,24
2016-08,23
2016-09,29
2016-10,36
2016-11,60
2016-12,82
2017-01,70
2017-02,45
2017-03,30
2017-04,27
2017-05,23
2017-06,15
2017-07,25
2017-08,25
2017-09,29
2017-10,35
2017-11,61
2017-12,82
2018-01,79
2018-02,65
2018-03,34
2018-04,25
2018-05,21
2018-06,20
2018-07,24
2018-08,21
2018-09,28
2018-10,32
2018-11,54
2018-12,86
2019-01,64
2019-02,44
2019-03,34
2019-04,22
2019-05,20
2019-06,24
2019-07,19
2019-08,20
2019-09,27
2019-10,29
2019-11,50
2019-12,68
2020-01,54
2020-02,35
2020-03,21
2020-04,13
2020-05,7
2020-06,13
2020-07,13
2020-08,18
2020-09,19
2020-10,21
2020-11,34
2020-12,53
2021-01,69
2021-02,51
2021-03,22
2021-04,19
2021-05,17
2021-06,18
2021-07,18
2021-08,15
2021-09,19
2021-10,27
2021-11,48
2021-12,62
2022-01,88
2022-02,63
2022-03,28
2022-04,22
2022-05,20
2022-06,16
2022-07,16
2022-08,19
2022-09,20
2022-10,23
2022-11,49
2022-12,72
2023-01,63
2023-02,40
2023-03,28
2023-04,19
2023-05,22
2023-06,25
2023-07,16
2023-08,20
2023-09,20
2023-10,31
2023-11,54
2023-12,71
