Category: All categories

Month,ice hockey sticks: (United States)
2014-01,81
2014-02,100
2014-03,64
2014-04,57
2014-05,44
2014-06,32
2014-07,47
2014-08,36
2014-09,54
2014-10,43
2014-11,88
2014-12,94
2015-01,72
2015-02,64
2015-03,63
2015-04,43
2015-05,54
2015-06,37
2015-07,29
2015-08,30
2015-09,54
2015-10,36
2015-11,62
2015-12,72
2016-01,71
2016-02,54
2016-03,58
2016-04,54
2016-05,38
2016-06,56
2016-07,31
2016-08,28
2016-09,38
2016-10,59
2016-11,79
2016-12,90
2017-01,76
2017-02,60
2017-03,54
2017-04,41
2017-05,38
2017-06,43
2017-07,34
2017-08,31
2017-09,43
2017-10,59
2017-11,61
2017-12,72
2018-01,67
2018-02,60
2018-03,42
2018-04,19
2018-05,41
2018-06,37
2018-07,17
2018-08,35
2018-09,42
2018-10,67
2018-11,77
2018-12,66
2019-01,55
2019-02,72
2019-03,46
2019-04,46
2019-05,39
2019-06,32
2019-07,17
2019-08,29
2019-09,36
2019-10,35
2019-11,46
2019-12,50
2020-01,60
2020-02,69
2020-03,39
2020-04,14
2020-05,14
2020-06,10
2020-07,28
2020-08,31
2020-09,33
2020-10,32
2020-11,39
2020-12,24
2021-01,45
2021-02,40
2021-03,36
2021-04,21
2021-05,11
2021-06,32
2021-07,29
2021-08,15
2021-09,19
2021-10,33
2021-11,31
2021-12,27
2022-01,68
2022-02,53
2022-03,29
2022-04,41
2022-05,21
2022-06,23
2022-07,21
2022-08,18
2022-09,25
2022-10,40
2022-11,42
2022-12,60
2023-01,47
2023-02,44
2023-03,27
2023-04,29
2023-05,40
2023-06,24
2023-07,22
2023-08,27
2023-09,34
2023-10,31
2023-11,58
2023-12,59
