Category: All categories

Month,jeff bezos: (United States)
2014-01,2
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,3
2015-09,2
2015-10,1
2015-11,2
2015-12,3
2016-01,2
2016-02,1
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,1
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,4
2017-02,3
2017-03,4
2017-04,5
2017-05,4
2017-06,7
2017-07,18
2017-08,6
2017-09,5
2017-10,8
2017-11,14
2017-12,8
2018-01,21
2018-02,14
2018-03,14
2018-04,14
2018-05,11
2018-06,9
2018-07,16
2018-08,13
2018-09,17
2018-10,14
2018-11,16
2018-12,15
2019-01,75
2019-02,45
2019-03,15
2019-04,22
2019-05,15
2019-06,12
2019-07,14
2019-08,16
2019-09,13
2019-10,16
2019-11,17
2019-12,15
2020-01,21
2020-02,38
2020-03,21
2020-04,21
2020-05,37
2020-06,24
2020-07,36
2020-08,30
2020-09,26
2020-10,19
2020-11,22
2020-12,28
2021-01,26
2021-02,45
2021-03,18
2021-04,16
2021-05,25
2021-06,28
2021-07,100
2021-08,25
2021-09,21
2021-10,24
2021-11,28
2021-12,21
2022-01,23
2022-02,23
2022-03,15
2022-04,19
2022-05,16
2022-06,10
2022-07,13
2022-08,11
2022-09,14
2022-10,12
2022-11,21
2022-12,11
2023-01,10
2023-02,9
2023-03,9
2023-04,9
2023-05,22
2023-06,14
2023-07,13
2023-08,10
2023-09,8
2023-10,11
2023-11,21
2023-12,12
