Category: All categories

Month,jensen huang: (United States)
2014-01,1
2014-02,0
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,2
2014-09,1
2014-10,0
2014-11,1
2014-12,0
2015-01,0
2015-02,<1
2015-03,0
2015-04,0
2015-05,<1
2015-06,0
2015-07,1
2015-08,0
2015-09,0
2015-10,<1
2015-11,1
2015-12,0
2016-01,1
2016-02,<1
2016-03,2
2016-04,2
2016-05,0
2016-06,2
2016-07,0
2016-08,1
2016-09,0
2016-10,4
2016-11,1
2016-12,1
2017-01,0
2017-02,1
2017-03,1
2017-04,3
2017-05,9
2017-06,4
2017-07,7
2017-08,4
2017-09,4
2017-10,4
2017-11,10
2017-12,5
2018-01,11
2018-02,7
2018-03,12
2018-04,8
2018-05,11
2018-06,9
2018-07,5
2018-08,14
2018-09,4
2018-10,8
2018-11,7
2018-12,1
2019-01,12
2019-02,6
2019-03,11
2019-04,4
2019-05,6
2019-06,3
2019-07,4
2019-08,5
2019-09,3
2019-10,6
2019-11,9
2019-12,4
2020-01,5
2020-02,5
2020-03,4
2020-04,9
2020-05,13
2020-06,6
2020-07,6
2020-08,15
2020-09,40
2020-10,14
2020-11,7
2020-12,4
2021-01,4
2021-02,10
2021-03,5
2021-04,13
2021-05,9
2021-06,11
2021-07,9
2021-08,16
2021-09,10
2021-10,10
2021-11,33
2021-12,13
2022-01,8
2022-02,14
2022-03,21
2022-04,15
2022-05,11
2022-06,8
2022-07,9
2022-08,11
2022-09,17
2022-10,14
2022-11,19
2022-12,10
2023-01,11
2023-02,15
2023-03,32
2023-04,18
2023-05,100
2023-06,73
2023-07,26
2023-08,46
2023-09,38
2023-10,44
2023-11,57
2023-12,65
