Category: All categories

Month,jetblue: (United States)
2014-01,100
2014-02,88
2014-03,87
2014-04,80
2014-05,80
2014-06,77
2014-07,89
2014-08,77
2014-09,71
2014-10,64
2014-11,65
2014-12,66
2015-01,81
2015-02,86
2015-03,88
2015-04,72
2015-05,75
2015-06,82
2015-07,89
2015-08,82
2015-09,71
2015-10,67
2015-11,59
2015-12,66
2016-01,78
2016-02,80
2016-03,73
2016-04,66
2016-05,73
2016-06,76
2016-07,84
2016-08,77
2016-09,68
2016-10,69
2016-11,70
2016-12,74
2017-01,81
2017-02,77
2017-03,81
2017-04,73
2017-05,76
2017-06,78
2017-07,78
2017-08,81
2017-09,74
2017-10,65
2017-11,60
2017-12,63
2018-01,75
2018-02,67
2018-03,75
2018-04,67
2018-05,66
2018-06,72
2018-07,79
2018-08,71
2018-09,63
2018-10,61
2018-11,64
2018-12,59
2019-01,72
2019-02,74
2019-03,73
2019-04,65
2019-05,67
2019-06,69
2019-07,73
2019-08,69
2019-09,57
2019-10,57
2019-11,55
2019-12,63
2020-01,61
2020-02,62
2020-03,62
2020-04,22
2020-05,25
2020-06,32
2020-07,26
2020-08,25
2020-09,26
2020-10,30
2020-11,28
2020-12,30
2021-01,32
2021-02,40
2021-03,47
2021-04,53
2021-05,52
2021-06,62
2021-07,64
2021-08,55
2021-09,51
2021-10,53
2021-11,53
2021-12,56
2022-01,61
2022-02,72
2022-03,81
2022-04,82
2022-05,69
2022-06,73
2022-07,73
2022-08,69
2022-09,62
2022-10,58
2022-11,64
2022-12,65
2023-01,66
2023-02,70
2023-03,74
2023-04,63
2023-05,66
2023-06,69
2023-07,74
2023-08,64
2023-09,59
2023-10,54
2023-11,57
2023-12,56
