Category: All categories

Month,john lechleiter: (United States)
2014-01,39
2014-02,17
2014-03,23
2014-04,0
2014-05,18
2014-06,23
2014-07,39
2014-08,22
2014-09,0
2014-10,1
2014-11,0
2014-12,0
2015-01,30
2015-02,30
2015-03,63
2015-04,42
2015-05,18
2015-06,1
2015-07,42
2015-08,44
2015-09,22
2015-10,0
2015-11,27
2015-12,37
2016-01,43
2016-02,17
2016-03,22
2016-04,58
2016-05,46
2016-06,0
2016-07,100
2016-08,52
2016-09,48
2016-10,21
2016-11,42
2016-12,13
2017-01,32
2017-02,22
2017-03,1
2017-04,32
2017-05,41
2017-06,18
2017-07,0
2017-08,24
2017-09,28
2017-10,38
2017-11,<1
2017-12,0
2018-01,25
2018-02,1
2018-03,0
2018-04,53
2018-05,0
2018-06,48
2018-07,29
2018-08,27
2018-09,16
2018-10,0
2018-11,0
2018-12,0
2019-01,21
2019-02,0
2019-03,0
2019-04,1
2019-05,18
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,37
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,29
2020-05,17
2020-06,16
2020-07,0
2020-08,19
2020-09,0
2020-10,13
2020-11,0
2020-12,<1
2021-01,1
2021-02,13
2021-03,0
2021-04,16
2021-05,0
2021-06,<1
2021-07,0
2021-08,<1
2021-09,0
2021-10,1
2021-11,1
2021-12,13
2022-01,0
2022-02,25
2022-03,1
2022-04,9
2022-05,17
2022-06,1
2022-07,0
2022-08,1
2022-09,0
2022-10,0
2022-11,0
2022-12,30
2023-01,19
2023-02,0
2023-03,18
2023-04,0
2023-05,15
2023-06,1
2023-07,0
2023-08,29
2023-09,0
2023-10,27
2023-11,22
2023-12,13
