Category: All categories

Month,Las Vegas vacation: (United States)
2014-01,100
2014-02,91
2014-03,81
2014-04,73
2014-05,64
2014-06,75
2014-07,73
2014-08,60
2014-09,56
2014-10,49
2014-11,50
2014-12,59
2015-01,87
2015-02,82
2015-03,75
2015-04,66
2015-05,65
2015-06,70
2015-07,80
2015-08,71
2015-09,60
2015-10,50
2015-11,49
2015-12,53
2016-01,80
2016-02,79
2016-03,74
2016-04,55
2016-05,61
2016-06,64
2016-07,67
2016-08,53
2016-09,53
2016-10,55
2016-11,49
2016-12,55
2017-01,70
2017-02,63
2017-03,68
2017-04,59
2017-05,60
2017-06,63
2017-07,72
2017-08,58
2017-09,55
2017-10,47
2017-11,40
2017-12,51
2018-01,67
2018-02,64
2018-03,60
2018-04,54
2018-05,53
2018-06,57
2018-07,62
2018-08,52
2018-09,48
2018-10,47
2018-11,43
2018-12,47
2019-01,62
2019-02,58
2019-03,59
2019-04,49
2019-05,52
2019-06,55
2019-07,59
2019-08,51
2019-09,47
2019-10,39
2019-11,42
2019-12,46
2020-01,64
2020-02,54
2020-03,29
2020-04,16
2020-05,21
2020-06,39
2020-07,31
2020-08,33
2020-09,34
2020-10,31
2020-11,28
2020-12,33
2021-01,38
2021-02,46
2021-03,60
2021-04,55
2021-05,55
2021-06,66
2021-07,53
2021-08,37
2021-09,36
2021-10,38
2021-11,40
2021-12,43
2022-01,54
2022-02,59
2022-03,54
2022-04,49
2022-05,46
2022-06,53
2022-07,49
2022-08,44
2022-09,37
2022-10,40
2022-11,35
2022-12,41
2023-01,52
2023-02,45
2023-03,42
2023-04,40
2023-05,42
2023-06,46
2023-07,45
2023-08,40
2023-09,33
2023-10,31
2023-11,32
2023-12,36
