Category: All categories

Month,long weekend vacations: (United States)
2014-01,0
2014-02,58
2014-03,78
2014-04,58
2014-05,58
2014-06,58
2014-07,59
2014-08,32
2014-09,18
2014-10,30
2014-11,18
2014-12,0
2015-01,47
2015-02,25
2015-03,34
2015-04,44
2015-05,35
2015-06,24
2015-07,92
2015-08,56
2015-09,23
2015-10,19
2015-11,0
2015-12,27
2016-01,40
2016-02,25
2016-03,44
2016-04,38
2016-05,26
2016-06,64
2016-07,37
2016-08,20
2016-09,24
2016-10,13
2016-11,0
2016-12,31
2017-01,65
2017-02,56
2017-03,49
2017-04,52
2017-05,49
2017-06,68
2017-07,30
2017-08,77
2017-09,49
2017-10,42
2017-11,30
2017-12,58
2018-01,26
2018-02,64
2018-03,71
2018-04,56
2018-05,36
2018-06,45
2018-07,52
2018-08,91
2018-09,46
2018-10,64
2018-11,34
2018-12,29
2019-01,46
2019-02,78
2019-03,67
2019-04,62
2019-05,80
2019-06,100
2019-07,69
2019-08,62
2019-09,33
2019-10,9
2019-11,49
2019-12,55
2020-01,74
2020-02,32
2020-03,18
2020-04,0
2020-05,13
2020-06,51
2020-07,33
2020-08,22
2020-09,0
2020-10,17
2020-11,0
2020-12,15
2021-01,49
2021-02,39
2021-03,20
2021-04,43
2021-05,61
2021-06,50
2021-07,28
2021-08,30
2021-09,15
2021-10,33
2021-11,22
2021-12,21
2022-01,48
2022-02,99
2022-03,63
2022-04,54
2022-05,34
2022-06,47
2022-07,35
2022-08,49
2022-09,22
2022-10,14
2022-11,29
2022-12,43
2023-01,66
2023-02,50
2023-03,52
2023-04,63
2023-05,42
2023-06,30
2023-07,40
2023-08,10
2023-09,30
2023-10,22
2023-11,19
2023-12,40
